fdo_id,fdo_name,short_name,abbrev,sky_name,BBC_name
57,Arsenal FC,Arsenal,Ars,Arsenal,Arsenal
58,Aston Villa FC,Aston Villa,Ast,Aston Villa,Aston Villa
397,Brighton & Hove Albion,Brighton & Hove Albion,BHA,Brighton and Hove Albion,Brighton
328,Burnley FC,Burnley,Bur,Burnley,Burnley
61,Chelsea FC,Chelsea,Che,Chelsea,Chelsea
354,Crystal Palace FC,Crystal Palace,Pal,Crystal Palace,Crystal Palace
62,Everton FC,Everton,Eve,Everton,Everton
63,Fulham FC,Fulham,Ful,Fulham,Fulham
341,Leeds United FC,Leeds United,Lee,Leeds United,Leeds
338,Leicester City FC,Leicester City,Lei,Leicester City,Leicester
64,Liverpool FC,Liverpool,Liv,Liverpool,Liverpool
65,Manchester City FC,Manchester City,MnC,Manchester City,Man City
66,Manchester United FC,Manchester United,MnU,Manchester United,Man Utd
67,Newcastle United FC,Newcastle United,New,Newcastle United,Newcastle
356,Sheffield United FC,Sheffield United,ShU,Sheffield United,Sheff Utd
340,Southampton FC,Southampton,Sot,Southampton,Southampton
73,Tottenham Hotspur FC,Tottenham Hotspur,Tot,Tottenham Hotspur,Tottenham
74,West Bromwich Albion FC,West Brom,WBA,West Bromwich Albion,West Brom
563,West Ham United FC,West Ham United,WHU,West Ham United,West Ham
76,Wolverhampton Wanderers,Wolverhampton Wanderers,Wol,Wolverhampton Wanderers,Wolves
