"","HA","vs","played","Pts","GD","GS","ePts","sched","cumulative"
"1","A","Kln","yes",0,-2,1,"0.72","0.10","0.10"
"2","H","BMg","yes",1,0,2,"1.49","-0.86","-0.76"
"3","A","Wol","yes",1,0,0,"0.71","0.12","-0.64"
"4","H","UnB","yes",0,-5,1,"0.69","0.14","-0.50"
"5","A","Stu","yes",1,0,1,"0.91","-0.14","-0.64"
"6","H","Boc","yes",3,2,3,"1.62","-1.02","-1.66"
"7","A","Dor","yes",0,-1,0,"0.14","0.82","-0.84"
"8","H","Aug","yes",0,-1,2,"1.33","-0.66","-1.49"
"9","A","Lev","yes",0,-4,0,"0.54","0.33","-1.16"
"10","H","Hof","yes",0,-3,0,"1.23","-0.54","-1.70"
"11","A","Her","yes",0,-1,1,"0.82","-0.03","-1.73"
"12","H","Fbg","yes",0,-2,0,"0.64","0.20","-1.53"
"13","A","Bre","yes",0,-1,1,"1.01","-0.26","-1.79"
"14","H","Mai","yes",3,1,1,"0.72","0.10","-1.69"
"15","H","Mun","yes",0,-2,0,"0.38","0.52","-1.17"
"16","A","Fra","yes",0,-3,0,"0.50","0.38","-0.79"
"17","H","Lei","yes",0,-5,1,"0.83","-0.03","-0.82"
"18","H","Kln","yes",1,0,0,"1.17","-0.46","-1.27"
"19","A","BMg","yes",1,0,0,"0.40","0.51","-0.77"
"20","H","Wol","yes",1,0,0,"0.73","0.08","-0.68"
"21","A","UnB","yes",1,0,0,"0.27","0.66","-0.02"
"22","H","Stu","yes",3,1,2,"1.52","-0.90","-0.92"
"23","A","Boc","yes",3,2,2,"0.74","0.08","-0.84"
"24","H","Dor","yes",1,0,2,"0.61","0.24","-0.61"
"25","A","Aug","yes",1,0,1,"0.83","-0.03","-0.64"
"26","H","Lev","yes",0,-3,0,"0.67","0.17","-0.48"
"27","A","Hof","yes",0,-2,0,"0.88","-0.10","-0.58"
"28","H","Her","yes",3,3,5,"1.88","-1.35","-1.93"
"29","A","Fbg","no",NA,NA,NA,"0.37","0.54","-1.39"
"30","H","Bre","no",NA,NA,NA,"0.91","-0.13","-1.52"
"31","A","Mai","no",NA,NA,NA,"0.63","0.21","-1.31"
"32","A","Mun","no",NA,NA,NA,"0.23","0.71","-0.60"
"33","H","Fra","no",NA,NA,NA,"0.88","-0.10","-0.70"
"34","A","Lei","no",NA,NA,NA,"0.24","0.70","-0.00"
