"","HA","vs","played","Pts","GD","GS","ePts","sched","cumulative"
"1","A","Aux","yes",0,-1,0,"1.49","-0.07","-0.07"
"2","H","Ren","yes",3,4,4,"1.78","-0.28","-0.35"
"3","H","Lil","yes",0,-6,1,"1.58","-0.14","-0.49"
"4","A","Mar","yes",0,-4,0,"0.42","0.70","0.20"
"5","A","Hav","yes",1,0,1,"0.84","0.39","0.60"
"6","H","Mco","yes",3,2,3,"1.91","-0.38","0.22"
"7","A","Par","yes",0,-2,0,"1.54","-0.11","0.12"
"8","H","Bre","yes",1,0,3,"1.99","-0.43","-0.32"
"9","A","Ang","yes",0,-2,0,"0.85","0.39","0.07"
"10","H","PSG","yes",1,0,1,"1.02","0.26","0.33"
"11","A","Len","yes",0,-3,0,"0.27","0.80","1.14"
"12","H","Tou","yes",1,0,1,"1.80","-0.30","0.84"
"13","A","Nan","yes",1,0,1,"1.84","-0.32","0.52"
"14","H","Nic","yes",3,2,3,"2.30","-0.66","-0.14"
"15","H","Lyo","yes",3,1,1,"1.60","-0.15","-0.29"
"16","A","RCS","yes",1,0,0,"0.63","0.55","0.26"
"17","H","Met","yes",1,0,1,"2.62","-0.89","-0.63"
"18","A","Mco","yes",3,2,3,"0.69","0.51","-0.13"
"19","A","Ren","yes",3,2,2,"0.59","0.57","0.45"
"20","H","Nan","yes",3,1,2,"2.24","-0.61","-0.16"
"21","A","Bre","yes",0,-2,0,"0.79","0.43","0.27"
"22","H","Ang","yes",3,2,2,"2.13","-0.53","-0.26"
"23","A","Nic","yes",1,0,3,"1.07","0.23","-0.03"
"24","H","Aux","no",NA,NA,NA,"2.50","-0.80","-0.83"
"25","A","Lil","no",NA,NA,NA,"0.63","0.55","-0.29"
"26","H","Len","no",NA,NA,NA,"1.05","0.25","-0.04"
"27","A","Tou","no",NA,NA,NA,"1.10","0.21","0.17"
"28","H","Par","no",NA,NA,NA,"2.00","-0.44","-0.27"
"29","A","Lyo","no",NA,NA,NA,"0.31","0.78","0.51"
"30","H","Mar","no",NA,NA,NA,"1.59","-0.14","0.36"
"31","H","RCS","no",NA,NA,NA,"1.89","-0.36","-0.00"
"32","A","PSG","no",NA,NA,NA,"0.12","0.91","0.91"
"33","A","Met","no",NA,NA,NA,"1.66","-0.19","0.72"
"34","H","Hav","no",NA,NA,NA,"2.39","-0.72","0.00"
