"","HA","vs","played","Pts","GD","ePts","sched","cumulative"
"1","A","MnU","yes",0,-4,"0.82","0.21","0.21"
"2","H","Eve","yes",1,0,"1.87","-0.81","-0.60"
"3","A","Bur","yes",1,0,"1.42","-0.38","-0.98"
"4","H","Liv","yes",0,-3,"0.44","0.57","-0.41"
"5","A","New","yes",1,0,"1.05","-0.02","-0.42"
"6","H","WHU","yes",0,-1,"0.91","0.12","-0.30"
"7","H","Wat","yes",3,1,"1.25","-0.22","-0.52"
"8","A","Sot","yes",0,-1,"1.07","-0.04","-0.56"
"9","H","Wol","yes",1,0,"0.74","0.28","-0.28"
"10","A","Nor","yes",3,1,"1.69","-0.64","-0.92"
"11","H","Lei","yes",1,0,"1.33","-0.29","-1.20"
"12","A","Tot","yes",0,-1,"0.68","0.34","-0.86"
"13","A","BHA","yes",1,0,"1.56","-0.51","-1.37"
"14","H","Pal","yes",3,1,"1.19","-0.15","-1.52"
"15","H","Bre","yes",1,0,"1.10","-0.07","-1.59"
"16","A","Che","yes",0,-1,"0.80","0.22","-1.37"
"17","A","MnC","yes",0,-7,"0.46","0.55","-0.81"
"18","H","Ars","yes",0,-3,"0.89","0.14","-0.67"
"19","H","Bur","yes",3,2,"1.52","-0.47","-1.14"
"20","A","WHU","yes",3,1,"0.83","0.19","-0.95"
"21","H","New","yes",0,-1,"1.36","-0.32","-1.27"
"22","A","Ast","yes",1,0,"1.25","-0.21","-1.48"
"23","A","Eve","yes",0,-3,"1.03","0.00","-1.48"
"24","H","MnU","yes",0,-2,"0.85","0.18","-1.30"
"25","A","Liv","yes",0,-6,"0.27","0.73","-0.56"
"26","H","Tot","yes",0,-4,"0.74","0.28","-0.28"
"27","A","Lei","yes",0,-1,"0.71","0.31","0.03"
"28","H","Ast","yes",0,-3,"1.11","-0.08","-0.05"
"29","H","Nor","yes",3,1,"1.62","-0.58","-0.62"
"30","A","Wol","yes",3,1,"1.14","-0.10","-0.72"
"31","H","Sot","yes",1,0,"1.22","-0.18","-0.90"
"32","A","Wat","yes",3,3,"1.95","-0.89","-1.79"
"33","A","Pal","no",NA,NA,"1.11","-0.08","-1.87"
"34","H","MnC","no",NA,NA,"0.28","0.73","-1.14"
"35","A","Ars","no",NA,NA,"0.62","0.39","-0.74"
"36","H","Che","no",NA,NA,"0.35","0.66","-0.09"
"37","H","BHA","no",NA,NA,"0.74","0.28","0.20"
"38","A","Bre","no",NA,NA,"1.24","-0.20","-0.00"
