"","HA","vs","played","Pts","ePts","sched","cumulative"
"1","H","Tor","yes",3,"1.31","-0.29","-0.29"
"2","A","Int","yes",0,"0.08","0.92","0.63"
"3","H","Sam","yes",0,"1.33","-0.31","0.31"
"4","A","Spe","yes",1,"1.14","-0.12","0.19"
"5","H","Udi","yes",3,"1.24","-0.22","-0.03"
"6","A","Rom","yes",0,"0.28","0.72","0.69"
"7","A","Par","yes",1,"1.76","-0.73","-0.04"
"8","H","Ben","yes",0,"1.14","-0.12","-0.17"
"9","A","Mil","yes",0,"0.79","0.22","0.05"
"10","H","Gen","yes",1,"1.60","-0.57","-0.52"
"11","A","Ata","yes",0,"0.42","0.59","0.07"
"12","H","Sas","yes",1,"0.73","0.28","0.35"
"13","H","Ver","yes",1,"1.22","-0.19","0.16"
"14","A","Juv","yes",3,"0.26","0.75","0.90"
"15","H","Bol","yes",1,"1.71","-0.68","0.22"
"16","A","Laz","yes",0,"0.36","0.65","0.87"
"17","H","Cag","yes",3,"1.63","-0.60","0.27"
"18","A","Nap","yes",0,"0.29","0.71","0.98"
"19","H","Cro","yes",3,"2.37","-1.33","-0.35"
"20","A","Tor","yes",1,"1.45","-0.43","-0.77"
"21","H","Int","yes",0,"0.46","0.55","-0.22"
"22","A","Sam","yes",0,"0.75","0.27","0.04"
"23","H","Spe","yes",3,"1.55","-0.53","-0.48"
"24","A","Udi","yes",0,"1.12","-0.10","-0.58"
"25","H","Rom","yes",0,"1.38","-0.35","-0.94"
"26","H","Par","yes",1,"1.93","-0.89","-1.83"
"27","A","Ben","yes",3,"1.55","-0.52","-2.35"
"28","H","Mil","yes",0,"0.11","0.89","-1.46"
"29","A","Gen","yes",1,"1.02","-0.00","-1.46"
"30","H","Ata","yes",0,"0.43","0.58","-0.89"
"31","A","Sas","yes",0,"0.83","0.18","-0.71"
"32","A","Ver","yes",3,"0.88","0.13","-0.57"
"33","H","Juv","yes",1,"0.85","0.16","-0.41"
"34","A","Bol","no",NA,"0.67","0.34","-0.06"
"35","H","Laz","no",NA,"0.82","0.19","0.13"
"36","A","Cag","no",NA,"1.14","-0.12","0.01"
"37","H","Nap","no",NA,"0.60","0.42","0.42"
"38","A","Cro","no",NA,"1.45","-0.42","-0.00"
