"","HA","vs","played","Pts","ePts","sched","cumulative"
"1","H","Tor","yes",3,"1.32","-0.29","-0.29"
"2","A","Int","yes",0,"0.08","0.92","0.62"
"3","H","Sam","yes",0,"1.34","-0.31","0.31"
"4","A","Spe","yes",1,"1.14","-0.12","0.19"
"5","H","Udi","yes",3,"1.25","-0.22","-0.03"
"6","A","Rom","yes",0,"0.29","0.72","0.69"
"7","A","Par","yes",1,"1.76","-0.73","-0.04"
"8","H","Ben","yes",0,"1.15","-0.12","-0.17"
"9","A","Mil","yes",0,"0.80","0.22","0.05"
"10","H","Gen","yes",1,"1.60","-0.57","-0.52"
"11","A","Ata","yes",0,"0.44","0.56","0.05"
"12","H","Sas","yes",1,"0.73","0.28","0.33"
"13","H","Ver","yes",1,"1.22","-0.20","0.13"
"14","A","Juv","yes",3,"0.26","0.74","0.88"
"15","H","Bol","yes",1,"1.68","-0.65","0.22"
"16","A","Laz","yes",0,"0.36","0.65","0.87"
"17","H","Cag","yes",3,"1.63","-0.60","0.27"
"18","A","Nap","yes",0,"0.29","0.71","0.98"
"19","H","Cro","yes",3,"2.37","-1.32","-0.34"
"20","A","Tor","yes",1,"1.42","-0.39","-0.73"
"21","H","Int","yes",0,"0.46","0.55","-0.18"
"22","A","Sam","yes",0,"0.75","0.27","0.08"
"23","H","Spe","yes",3,"1.55","-0.53","-0.44"
"24","A","Udi","yes",0,"1.12","-0.10","-0.55"
"25","H","Rom","yes",0,"1.38","-0.35","-0.90"
"26","H","Par","yes",1,"1.93","-0.90","-1.80"
"27","A","Ben","yes",3,"1.55","-0.52","-2.32"
"28","H","Mil","yes",0,"0.11","0.89","-1.43"
"29","A","Gen","yes",1,"1.02","0.00","-1.43"
"30","H","Ata","yes",0,"0.43","0.58","-0.85"
"31","A","Sas","yes",0,"0.83","0.18","-0.67"
"32","A","Ver","yes",3,"0.89","0.13","-0.54"
"33","H","Juv","yes",1,"0.85","0.16","-0.38"
"34","A","Bol","no",NA,"0.67","0.34","-0.03"
"35","H","Laz","no",NA,"0.83","0.19","0.16"
"36","A","Cag","no",NA,"1.14","-0.12","0.04"
"37","H","Nap","no",NA,"0.63","0.38","0.42"
"38","A","Cro","no",NA,"1.45","-0.42","0.00"
