"","HA","vs","played","Pts","ePts","sched","cumulative"
"1","H","Bol","yes",3,"2.07","0.03","0.03"
"2","A","Cro","yes",3,"2.87","-0.34","-0.31"
"3","H","Spe","yes",3,"1.85","0.13","-0.18"
"4","A","Int","yes",3,"1.49","0.30","0.12"
"5","H","Rom","yes",1,"1.57","0.26","0.39"
"6","A","Udi","yes",3,"2.81","-0.32","0.07"
"7","H","Ver","yes",1,"1.62","0.24","0.31"
"8","A","Nap","yes",3,"2.39","-0.12","0.19"
"9","H","Fir","yes",3,"2.14","-0.00","0.18"
"10","A","Sam","yes",3,"2.74","-0.29","-0.10"
"11","H","Par","yes",1,"2.25","-0.05","-0.16"
"12","A","Gen","yes",1,"2.83","-0.33","-0.48"
"13","A","Sas","yes",3,"2.79","-0.31","-0.79"
"14","H","Laz","yes",3,"1.13","0.47","-0.32"
"15","A","Ben","yes",3,"2.88","-0.35","-0.67"
"16","H","Juv","yes",0,"1.17","0.45","-0.22"
"17","H","Tor","yes",3,"1.73","0.19","-0.03"
"18","A","Cag","yes",3,"2.86","-0.34","-0.37"
"19","H","Ata","yes",0,"0.66","0.69","0.33"
"20","A","Bol","yes",3,"2.68","-0.26","0.07"
"21","H","Cro","yes",3,"2.80","-0.31","-0.24"
"22","A","Spe","yes",0,"2.85","-0.34","-0.58"
"23","H","Int","yes",0,"0.60","0.72","0.14"
"24","A","Rom","yes",3,"2.32","-0.09","0.06"
"25","H","Udi","yes",1,"1.74","0.18","0.24"
"26","A","Ver","yes",3,"2.78","-0.30","-0.06"
"27","H","Nap","yes",0,"0.94","0.56","0.50"
"28","A","Fir","yes",3,"2.82","-0.32","0.18"
"29","H","Sam","yes",1,"1.77","0.17","0.35"
"30","A","Par","yes",3,"2.90","-0.36","-0.01"
"31","H","Gen","yes",3,"1.97","0.08","0.07"
"32","H","Sas","no",NA,"1.17","0.45","0.52"
"33","A","Laz","no",NA,"2.47","-0.16","0.36"
"34","H","Ben","no",NA,"1.52","0.29","0.65"
"35","A","Juv","no",NA,"2.33","-0.09","0.56"
"36","A","Tor","no",NA,"2.88","-0.35","0.21"
"37","H","Cag","no",NA,"2.16","-0.01","0.20"
"38","A","Ata","no",NA,"2.56","-0.20","0.00"
