"","HA","vs","played","Pts","ePts","sched","cumulative"
"1","H","Rom","yes",3,"1.48","-0.16","-0.16"
"2","H","Udi","yes",3,"1.54","-0.20","-0.36"
"3","A","Par","yes",0,"1.97","-0.54","-0.90"
"4","H","Gen","yes",1,"1.79","-0.40","-1.30"
"5","A","Juv","yes",1,"0.41","0.68","-0.62"
"6","H","Ben","yes",3,"1.37","-0.07","-0.69"
"7","A","Mil","yes",1,"1.14","0.11","-0.59"
"8","H","Sas","yes",0,"0.90","0.29","-0.29"
"9","A","Ata","yes",3,"0.68","0.47","0.18"
"10","H","Cag","yes",1,"1.83","-0.43","-0.26"
"11","A","Laz","yes",3,"0.56","0.57","0.31"
"12","H","Sam","yes",0,"1.47","-0.15","0.16"
"13","A","Fir","yes",1,"1.47","-0.15","0.01"
"14","H","Int","yes",0,"0.58","0.54","0.55"
"15","A","Spe","yes",3,"1.55","-0.22","0.34"
"16","A","Tor","yes",1,"1.82","-0.43","-0.09"
"17","H","Cro","yes",3,"2.75","-1.15","-1.24"
"18","A","Bol","yes",0,"0.99","0.23","-1.02"
"19","H","Nap","yes",3,"0.78","0.39","-0.63"
"20","A","Rom","yes",0,"0.42","0.67","0.04"
"21","A","Udi","yes",0,"1.53","-0.19","-0.15"
"22","H","Par","yes",3,"2.12","-0.66","-0.81"
"23","A","Gen","yes",1,"1.51","-0.18","-1.00"
"24","H","Juv","yes",1,"0.98","0.24","-0.76"
"25","A","Ben","yes",3,"1.85","-0.45","-1.20"
"26","H","Mil","yes",0,"0.15","0.88","-0.32"
"27","A","Sas","yes",0,"1.31","-0.02","-0.34"
"28","H","Ata","yes",0,"0.53","0.58","0.24"
"29","A","Cag","yes",3,"1.69","-0.32","-0.08"
"30","H","Laz","yes",0,"0.95","0.25","0.17"
"31","A","Sam","yes",0,"1.10","0.14","0.31"
"32","H","Fir","yes",0,"1.78","-0.40","-0.09"
"33","A","Int","no",NA,"0.14","0.89","0.80"
"34","H","Spe","no",NA,"1.67","-0.31","0.50"
"35","H","Tor","no",NA,"1.53","-0.20","0.30"
"36","A","Cro","no",NA,"1.82","-0.42","-0.13"
"37","H","Bol","no",NA,"1.88","-0.47","-0.60"
"38","A","Nap","no",NA,"0.51","0.60","0.00"
