"","HA","vs","played","Pts","GD","ePts","sched","cumulative"
"1","H","Cag","yes",1,0,"1.70","-0.08","-0.08"
"2","A","Spe","yes",3,3,"2.10","-0.34","-0.42"
"3","H","Cro","yes",3,3,"2.51","-0.60","-1.01"
"4","A","Bol","yes",3,1,"1.86","-0.18","-1.20"
"5","H","Tor","yes",1,0,"1.66","-0.06","-1.26"
"6","A","Nap","yes",3,2,"1.02","0.35","-0.90"
"7","H","Udi","yes",1,0,"1.49","0.05","-0.85"
"8","A","Ver","yes",3,2,"1.99","-0.27","-1.12"
"9","H","Int","yes",0,-3,"0.61","0.61","-0.51"
"10","A","Rom","yes",1,0,"0.84","0.46","-0.05"
"11","H","Ben","yes",3,1,"1.49","0.05","0.00"
"12","A","Fir","yes",1,0,"1.99","-0.26","-0.26"
"13","H","Mil","yes",0,-1,"0.19","0.88","0.62"
"14","A","Sam","yes",3,1,"1.75","-0.11","0.51"
"15","A","Ata","yes",0,-4,"1.17","0.26","0.76"
"16","H","Gen","yes",3,1,"1.67","-0.07","0.70"
"17","A","Juv","yes",0,-2,"0.81","0.48","1.18"
"18","H","Par","yes",1,0,"2.22","-0.41","0.77"
"19","A","Laz","yes",0,-1,"0.82","0.48","1.25"
"20","A","Cag","yes",1,0,"2.20","-0.40","0.85"
"21","H","Spe","yes",0,-1,"1.76","-0.12","0.73"
"22","A","Cro","yes",3,1,"2.29","-0.46","0.27"
"23","H","Bol","yes",1,0,"1.91","-0.22","0.05"
"24","H","Nap","yes",1,0,"0.71","0.55","0.60"
"25","A","Udi","yes",0,-2,"2.22","-0.41","0.19"
"26","H","Ver","yes",3,1,"1.55","0.01","0.20"
"27","A","Tor","yes",0,-1,"2.31","-0.47","-0.27"
"28","H","Rom","yes",1,0,"1.68","-0.07","-0.33"
"29","A","Int","yes",0,-1,"0.28","0.82","0.49"
"30","A","Ben","yes",3,1,"2.48","-0.58","-0.09"
"31","H","Fir","yes",3,2,"1.81","-0.15","-0.24"
"32","A","Mil","yes",3,1,"1.74","-0.11","-0.35"
"33","H","Sam","yes",3,1,"1.57","0.00","-0.35"
"34","H","Ata","yes",1,0,"0.56","0.64","0.30"
"35","A","Gen","yes",3,1,"2.13","-0.35","-0.06"
"36","H","Juv","yes",0,-2,"0.89","0.43","0.38"
"37","A","Par","no",NA,NA,"2.55","-0.62","-0.25"
"38","H","Laz","no",NA,NA,"1.19","0.25","0.00"
