"","HA","vs","played","Pts","GD","ePts","sched","cumulative"
"1","A","Gen","yes",0,-3,"0.35","0.36","0.36"
"2","H","Mil","yes",0,-2,"0.11","0.80","1.16"
"3","A","Sas","yes",0,-3,"0.26","0.51","1.67"
"4","H","Juv","yes",1,0,"0.53","0.03","1.70"
"5","A","Cag","yes",0,-2,"0.41","0.25","1.95"
"6","H","Ata","yes",0,-1,"0.29","0.47","2.42"
"7","A","Tor","yes",1,0,"0.57","-0.05","2.37"
"8","H","Laz","yes",0,-2,"0.52","0.05","2.42"
"9","A","Bol","yes",0,-1,"0.23","0.58","3.00"
"10","H","Nap","yes",0,-4,"0.35","0.35","3.35"
"11","H","Spe","yes",3,3,"1.09","-1.02","2.33"
"12","A","Udi","yes",1,0,"0.40","0.27","2.60"
"13","A","Sam","yes",0,-2,"0.24","0.56","3.15"
"14","H","Par","yes",3,1,"1.49","-1.75","1.40"
"15","A","Int","yes",0,-4,"0.03","0.94","2.35"
"16","H","Rom","yes",0,-2,"0.94","-0.73","1.62"
"17","A","Ver","yes",0,-1,"0.31","0.43","2.05"
"18","H","Ben","yes",3,3,"0.81","-0.50","1.55"
"19","A","Fir","yes",0,-1,"0.37","0.32","1.87"
"20","H","Gen","yes",0,-3,"1.17","-1.15","0.72"
"21","A","Mil","yes",0,-4,"0.23","0.57","1.29"
"22","H","Sas","yes",0,-1,"0.45","0.18","1.47"
"23","A","Juv","yes",0,-3,"0.08","0.85","2.32"
"24","H","Cag","yes",0,-2,"1.13","-1.07","1.25"
"25","A","Ata","yes",0,-4,"0.13","0.77","2.01"
"26","H","Tor","yes",3,2,"0.89","-0.64","1.37"
"27","A","Laz","yes",0,-1,"0.08","0.85","2.22"
"28","H","Bol","yes",0,-1,"1.25","-1.30","0.91"
"29","A","Nap","yes",0,-1,"0.11","0.80","1.71"
"30","A","Spe","yes",0,-1,"0.41","0.25","1.96"
"31","H","Udi","yes",0,-1,"0.82","-0.51","1.45"
"32","H","Sam","yes",0,-1,"0.90","-0.66","0.78"
"33","A","Par","yes",3,1,"0.79","-0.46","0.32"
"34","H","Int","yes",0,-2,"0.26","0.52","0.84"
"35","A","Rom","no",NA,NA,"0.09","0.83","1.68"
"36","H","Ver","no",NA,NA,"0.80","-0.47","1.21"
"37","A","Ben","no",NA,NA,"0.64","-0.17","1.04"
"38","H","Fir","no",NA,NA,"1.11","-1.04","0.00"
