"","HA","vs","played","sched","cumulative"
"1","A","Liv","yes","0.95","0.95"
"2","H","New","yes","-0.40","0.55"
"3","H","Che","yes","0.06","0.61"
"4","A","WHU","yes","-0.13","0.48"
"5","H","MnC","yes","0.42","0.90"
"6","A","Bur","yes","0.24","1.14"
"7","A","Pal","yes","0.21","1.35"
"8","H","Ast","yes","-0.85","0.49"
"9","A","Bou","yes","-0.21","0.28"
"10","H","MnU","yes","0.01","0.29"
"11","A","BHA","yes","-0.15","0.14"
"12","H","Wat","yes","-0.77","-0.62"
"13","A","Eve","yes","0.18","-0.45"
"14","H","Ars","yes","-0.20","-0.65"
"15","A","Sot","yes","0.11","-0.54"
"16","H","ShU","yes","-0.06","-0.60"
"17","A","Lei","yes","0.59","-0.01"
"18","H","Wol","yes","-0.06","-0.07"
"19","A","Ast","yes","-0.26","-0.33"
"20","H","Tot","yes","-0.15","-0.48"
"21","H","Pal","yes","-0.30","-0.78"
"22","A","MnU","yes","0.43","-0.35"
"23","H","Bou","yes","-0.80","-1.16"
"24","A","Tot","yes","0.32","-0.84"
"25","A","New","yes","0.13","-0.71"
"26","H","Liv","yes","0.91","0.20"
"27","A","Wol","yes","0.38","0.58"
"28","H","Lei","yes","0.27","0.85"
"29","A","ShU","yes","0.38","1.22"
"30","H","Sot","no","-0.42","0.80"
"31","H","Eve","no","-0.34","0.46"
"32","A","Ars","no","0.28","0.74"
"33","H","BHA","no","-0.74","0.00"
"34","A","Wat","no","-0.18","-0.17"
"35","H","WHU","no","-0.72","-0.89"
"36","A","Che","no","0.46","-0.43"
"37","H","Bur","no","-0.26","-0.69"
"38","A","MnC","no","0.69","-0.00"
