"","HA","vs","played","sched","cumulative"
"1","A","Bou","yes","-0.18","-0.18"
"2","H","Pal","yes","-0.29","-0.46"
"3","H","Lei","yes","0.02","-0.44"
"4","A","Che","yes","0.39","-0.05"
"5","H","Sot","yes","-0.21","-0.27"
"6","A","Eve","yes","0.14","-0.13"
"7","H","Liv","yes","0.73","0.61"
"8","A","Wat","yes","-0.11","0.49"
"9","H","Ars","yes","-0.14","0.35"
"10","A","WHU","yes","-0.08","0.27"
"11","H","Bur","yes","-0.12","0.15"
"12","A","Tot","yes","0.25","0.40"
"13","H","MnU","yes","0.02","0.42"
"14","A","Wol","yes","0.30","0.72"
"15","H","New","yes","-0.28","0.44"
"16","A","Nor","yes","-0.39","0.05"
"17","H","Ast","yes","-0.47","-0.41"
"18","A","BHA","yes","-0.06","-0.48"
"19","H","Wat","yes","-0.42","-0.89"
"20","A","MnC","yes","0.61","-0.28"
"21","A","Liv","yes","0.87","0.59"
"22","H","WHU","yes","-0.39","0.20"
"23","A","Ars","yes","0.21","0.41"
"24","H","MnC","yes","0.32","0.73"
"25","A","Pal","yes","0.05","0.78"
"26","H","Bou","yes","-0.46","0.32"
"27","H","BHA","yes","-0.38","-0.06"
"28","H","Nor","yes","-0.61","-0.67"
"29","A","Ast","yes","-0.18","-0.85"
"30","A","New","yes","0.07","-0.78"
"31","A","MnU","yes","0.38","-0.41"
"32","H","Tot","yes","-0.11","-0.52"
"33","A","Bur","yes","0.24","-0.28"
"34","H","Wol","yes","-0.06","-0.34"
"35","H","Che","yes","0.04","-0.30"
"36","A","Lei","no","0.38","0.07"
"37","H","Eve","no","-0.21","-0.14"
"38","A","Sot","no","0.14","0.00"
