"","HA","vs","played","Pts","GD","GS","ePts","sched","cumulative"
"1","H","Udi","yes",1,0,1,"1.91","-0.17","-0.17"
"2","A","Nap","yes",0,-3,0,"0.62","0.62","0.44"
"3","H","Emp","yes",1,0,1,"2.08","-0.28","0.17"
"4","A","Com","yes",1,0,2,"1.44","0.11","0.28"
"5","A","Mon","yes",3,1,2,"2.36","-0.45","-0.17"
"6","H","Ata","yes",1,0,1,"0.92","0.43","0.26"
"7","H","Par","yes",1,0,0,"2.33","-0.43","-0.17"
"8","A","Gen","yes",1,0,2,"1.79","-0.10","-0.27"
"9","A","Cag","yes",3,2,2,"1.72","-0.06","-0.33"
"10","H","Lec","yes",3,1,1,"2.27","-0.40","-0.73"
"11","A","Rom","yes",3,1,3,"0.90","0.45","-0.28"
"12","A","Laz","yes",0,-3,0,"0.92","0.43","0.15"
"13","H","Ven","yes",3,3,3,"2.54","-0.56","-0.41"
"14","A","Juv","yes",1,0,2,"0.86","0.47","0.06"
"15","H","Fir","yes",3,1,1,"1.75","-0.08","-0.02"
"16","A","Tor","yes",3,2,2,"1.52","0.07","0.05"
"17","H","Ver","yes",0,-1,2,"2.15","-0.33","-0.28"
"18","H","Rom","yes",1,0,2,"1.93","-0.19","-0.46"
"19","A","Int","yes",1,0,2,"0.55","0.66","0.19"
"20","H","Mon","yes",3,2,3,"2.50","-0.54","-0.34"
"21","A","Emp","yes",1,0,1,"2.11","-0.30","-0.64"
"22","H","Com","yes",3,2,2,"2.18","-0.34","-0.99"
"23","A","Lec","yes",1,0,0,"1.78","-0.10","-1.08"
"24","H","Tor","yes",3,1,3,"1.89","-0.16","-1.24"
"25","A","Par","yes",0,-2,0,"1.91","-0.18","-1.42"
"26","H","Mil","yes",3,1,2,"1.78","-0.09","-1.51"
"27","H","Cag","yes",3,2,3,"2.28","-0.41","-1.92"
"28","A","Ver","no",NA,NA,NA,"1.75","-0.08","-2.00"
"29","H","Laz","no",NA,NA,NA,"1.34","0.17","-1.82"
"30","A","Ven","no",NA,NA,NA,"1.96","-0.21","-2.03"
"31","H","Nap","no",NA,NA,NA,"0.96","0.41","-1.62"
"32","A","Ata","no",NA,NA,NA,"0.98","0.40","-1.22"
"33","H","Int","no",NA,NA,NA,"1.07","0.34","-0.88"
"34","A","Udi","no",NA,NA,NA,"1.20","0.26","-0.61"
"35","H","Juv","no",NA,NA,NA,"1.28","0.21","-0.40"
"36","A","Mil","no",NA,NA,NA,"1.18","0.27","-0.13"
"37","A","Fir","no",NA,NA,NA,"1.03","0.37","0.24"
"38","H","Gen","no",NA,NA,NA,"2.02","-0.24","-0.00"
