"","HA","vs","played","Pts","ePts","sched","cumulative"
"1","H","Bra","yes",3,"1.93","0.19","0.19"
"2","A","Boa","yes",3,"2.63","-0.10","0.08"
"3","H","Mar","yes",0,"2.58","-0.09","-0.00"
"4","A","Spo","yes",1,"1.38","0.42","0.42"
"5","H","Gil","yes",3,"2.45","-0.03","0.39"
"6","A","Pac","yes",0,"1.79","0.25","0.63"
"7","H","Pse","yes",3,"2.66","-0.12","0.51"
"8","A","SCl","yes",3,"2.45","-0.03","0.48"
"9","H","Ton","yes",3,"2.75","-0.16","0.32"
"10","H","Nac","yes",3,"2.73","-0.15","0.17"
"11","A","Gui","yes",3,"2.54","-0.07","0.10"
"12","H","Mor","yes",3,"2.44","-0.03","0.08"
"13","A","Fam","yes",3,"2.69","-0.13","-0.05"
"14","H","Ben","yes",1,"1.79","0.25","0.19"
"15","A","Far","yes",3,"2.66","-0.12","0.07"
"16","H","Rio","yes",3,"2.63","-0.11","-0.03"
"17","A","Bel","yes",1,"2.55","-0.07","-0.11"
"18","A","Bra","yes",1,"1.74","0.27","0.16"
"19","H","Boa","yes",1,"2.62","-0.10","0.06"
"20","A","Mar","yes",3,"2.68","-0.13","-0.07"
"21","H","Spo","yes",1,"1.05","0.56","0.49"
"22","A","Gil","yes",3,"2.66","-0.12","0.37"
"23","H","Pac","yes",3,"2.61","-0.10","0.27"
"24","A","Pse","yes",3,"2.41","-0.01","0.26"
"25","H","SCl","yes",3,"2.47","-0.04","0.22"
"26","A","Ton","yes",3,"2.09","0.12","0.34"
"27","A","Nac","yes",3,"2.72","-0.14","0.20"
"28","H","Gui","yes",3,"2.28","0.04","0.24"
"29","A","Mor","no",NA,"2.59","-0.09","0.15"
"30","H","Fam","no",NA,"2.42","-0.02","0.13"
"31","A","Ben","no",NA,"1.90","0.20","0.33"
"32","H","Far","no",NA,"2.65","-0.11","0.21"
"33","A","Rio","no",NA,"2.62","-0.10","0.11"
"34","H","Bel","no",NA,"2.64","-0.11","0.00"
