"","HA","vs","played","Pts","GD","ePts","sched","cumulative"
"1","A","Sev","yes",0,-3,"0.27","0.79","0.79"
"2","A","RSo","yes",0,-1,"0.58","0.56","1.35"
"3","H","Gra","yes",3,4,"2.26","-0.71","0.64"
"4","A","Lev","yes",1,0,"1.14","0.14","0.78"
"5","H","Get","yes",3,3,"2.42","-0.83","-0.05"
"6","A","Bil","yes",3,1,"0.65","0.51","0.46"
"7","H","Cad","yes",3,2,"2.08","-0.57","-0.11"
"8","A","Osa","yes",0,-1,"0.96","0.28","0.17"
"9","H","Elc","yes",3,1,"2.20","-0.66","-0.49"
"10","A","Bet","yes",0,-1,"0.63","0.52","0.03"
"11","H","Bar","yes",3,1,"1.85","-0.40","-0.37"
"12","H","Cel","yes",1,0,"1.82","-0.37","-0.74"
"13","A","RMa","yes",0,-1,"0.30","0.78","0.04"
"14","H","Mal","yes",3,2,"2.27","-0.71","-0.67"
"15","A","Val","yes",1,0,"0.70","0.47","-0.20"
"16","H","Esp","yes",3,1,"2.37","-0.79","-0.99"
"17","A","Vil","yes",0,-2,"0.48","0.64","-0.35"
"18","H","Ala","yes",3,2,"2.39","-0.81","-1.16"
"19","A","Atl","yes",0,-2,"0.35","0.74","-0.42"
"20","H","Bet","yes",1,0,"1.37","-0.04","-0.46"
"21","H","Bil","yes",0,-1,"1.78","-0.34","-0.80"
"22","A","Cel","yes",0,-2,"0.85","0.36","-0.44"
"23","H","Osa","yes",0,-3,"1.56","-0.18","-0.62"
"24","A","Elc","no",NA,NA,"0.63","0.52","-0.10"
"25","H","RMa","no",NA,NA,"1.18","0.11","0.01"
"26","A","Cad","no",NA,NA,"1.39","-0.05","-0.04"
"27","H","Sev","no",NA,NA,"1.67","-0.26","-0.31"
"28","H","Atl","no",NA,NA,"1.91","-0.45","-0.75"
"29","A","Gra","no",NA,NA,"0.67","0.49","-0.26"
"30","H","Val","no",NA,NA,"2.11","-0.59","-0.85"
"31","A","Ala","no",NA,NA,"0.83","0.37","-0.48"
"32","A","Esp","no",NA,NA,"0.50","0.63","0.15"
"33","H","RSo","no",NA,NA,"1.82","-0.38","-0.23"
"34","A","Get","no",NA,NA,"0.55","0.58","0.36"
"35","H","Vil","no",NA,NA,"2.00","-0.51","-0.15"
"36","A","Mal","no",NA,NA,"0.75","0.43","0.28"
"37","H","Lev","no",NA,NA,"2.60","-0.96","-0.68"
"38","A","Bar","no",NA,NA,"0.42","0.68","0.00"
