"","HA","vs","played","Pts","GD","ePts","sched","cumulative"
"1","A","Elc","yes",1,0,"1.38","0.03","0.03"
"2","H","Bar","yes",1,0,"1.14","0.20","0.23"
"3","A","Cel","yes",3,1,"1.48","-0.04","0.19"
"4","H","Mal","yes",3,2,"2.15","-0.51","-0.31"
"5","A","Atl","yes",1,0,"0.75","0.47","0.16"
"6","H","Ray","yes",0,-1,"2.24","-0.57","-0.41"
"7","A","Val","yes",1,0,"1.33","0.06","-0.34"
"8","H","Ala","yes",3,1,"2.23","-0.57","-0.91"
"9","H","Vil","yes",3,1,"1.81","-0.27","-1.18"
"10","A","Esp","yes",1,0,"0.88","0.38","-0.80"
"11","A","RSo","yes",1,0,"0.91","0.36","-0.44"
"12","H","Cad","yes",0,-1,"1.80","-0.26","-0.70"
"13","A","Lev","yes",1,0,"1.67","-0.17","-0.88"
"14","H","Gra","yes",1,0,"1.94","-0.36","-1.24"
"15","A","RMa","yes",0,-1,"0.64","0.55","-0.69"
"16","A","Get","yes",1,0,"1.13","0.21","-0.49"
"17","H","Sev","yes",0,-1,"1.40","0.02","-0.47"
"18","H","Bet","yes",3,1,"1.11","0.22","-0.25"
"19","H","RMa","yes",0,-1,"0.66","0.54","0.29"
"20","A","Osa","yes",3,2,"1.44","-0.01","0.28"
"21","A","Ala","yes",1,0,"1.54","-0.08","0.20"
"22","A","Ray","yes",3,1,"1.02","0.29","0.49"
"23","H","Esp","yes",3,1,"2.15","-0.51","-0.02"
"24","A","Mal","yes",0,-1,"1.33","0.06","0.05"
"25","H","RSo","yes",3,4,"1.36","0.05","0.09"
"26","A","Bar","yes",0,-4,"0.61","0.57","0.66"
"27","H","Lev","yes",3,2,"2.23","-0.57","0.09"
"28","A","Bet","yes",0,-1,"1.05","0.27","0.36"
"29","H","Get","yes",1,0,"2.20","-0.54","-0.18"
"30","H","Elc","yes",3,1,"1.89","-0.33","-0.51"
"31","A","Vil","yes",1,0,"0.89","0.38","-0.13"
"32","H","Cel","no",NA,NA,"1.60","-0.12","-0.25"
"33","A","Cad","no",NA,NA,"1.85","-0.30","-0.55"
"34","H","Atl","no",NA,NA,"1.33","0.07","-0.48"
"35","H","Val","no",NA,NA,"1.54","-0.08","-0.56"
"36","A","Gra","no",NA,NA,"1.53","-0.07","-0.63"
"37","H","Osa","no",NA,NA,"1.42","0.00","-0.63"
"38","A","Sev","no",NA,NA,"0.53","0.63","0.00"
