"","HA","vs","played","Pts","GD","ePts","sched","cumulative"
"1","A","Elc","yes",1,0,"1.32","0.07","0.07"
"2","H","Bar","yes",1,0,"1.14","0.20","0.27"
"3","A","Cel","yes",3,1,"1.47","-0.03","0.24"
"4","H","Mal","yes",3,2,"2.20","-0.54","-0.30"
"5","A","Atl","yes",1,0,"0.75","0.48","0.17"
"6","H","Ray","yes",0,-1,"2.29","-0.61","-0.43"
"7","A","Val","yes",1,0,"1.40","0.02","-0.42"
"8","H","Ala","yes",3,1,"2.25","-0.57","-0.99"
"9","H","Vil","yes",3,1,"1.72","-0.20","-1.19"
"10","A","Esp","yes",1,0,"0.88","0.38","-0.81"
"11","A","RSo","yes",1,0,"0.91","0.36","-0.44"
"12","H","Cad","yes",0,-1,"1.81","-0.27","-0.71"
"13","A","Lev","yes",1,0,"1.68","-0.18","-0.89"
"14","H","Gra","yes",1,0,"1.95","-0.37","-1.26"
"15","A","RMa","yes",0,-1,"0.65","0.55","-0.71"
"16","A","Get","yes",1,0,"1.22","0.15","-0.56"
"17","H","Sev","yes",0,-1,"1.41","0.01","-0.55"
"18","H","Bet","yes",3,1,"1.11","0.22","-0.33"
"19","H","RMa","yes",0,-1,"0.66","0.54","0.20"
"20","A","Osa","yes",3,2,"1.44","-0.01","0.19"
"21","A","Ala","yes",1,0,"1.48","-0.03","0.16"
"22","A","Ray","yes",3,1,"1.02","0.28","0.44"
"23","H","Esp","yes",3,1,"2.16","-0.51","-0.07"
"24","A","Mal","yes",0,-1,"1.32","0.07","0.00"
"25","H","RSo","yes",3,4,"1.37","0.04","0.04"
"26","A","Bar","yes",0,-4,"0.61","0.57","0.61"
"27","H","Lev","yes",3,2,"2.11","-0.48","0.13"
"28","A","Bet","yes",0,-1,"1.04","0.27","0.40"
"29","H","Get","yes",1,0,"2.21","-0.55","-0.15"
"30","H","Elc","yes",3,1,"1.90","-0.33","-0.48"
"31","A","Vil","yes",1,0,"0.89","0.38","-0.10"
"32","H","Cel","no",NA,NA,"1.60","-0.12","-0.22"
"33","A","Cad","no",NA,NA,"1.85","-0.29","-0.52"
"34","H","Atl","no",NA,NA,"1.34","0.06","-0.46"
"35","H","Val","no",NA,NA,"1.55","-0.08","-0.54"
"36","A","Gra","no",NA,NA,"1.62","-0.14","-0.68"
"37","H","Osa","no",NA,NA,"1.36","0.05","-0.63"
"38","A","Sev","no",NA,NA,"0.53","0.63","0.00"
