"","HA","vs","played","Pts","GD","ePts","sched","cumulative"
"1","A","Val","yes",0,-1,"0.69","0.37","0.37"
"2","H","Sev","yes",0,-1,"1.34","-0.22","0.15"
"3","A","Bar","yes",0,-1,"0.27","0.75","0.91"
"4","H","Elc","yes",0,-1,"1.84","-0.67","0.24"
"5","A","Ray","yes",0,-3,"0.46","0.58","0.82"
"6","H","Atl","yes",0,-1,"1.27","-0.15","0.67"
"7","A","Bet","yes",0,-2,"0.50","0.55","1.21"
"8","H","RSo","yes",1,0,"1.39","-0.26","0.95"
"9","A","Lev","yes",1,0,"0.93","0.16","1.11"
"10","H","Cel","yes",0,-3,"1.48","-0.34","0.77"
"11","A","Gra","yes",1,0,"0.84","0.24","1.01"
"12","H","Esp","yes",3,1,"2.10","-0.90","0.10"
"13","A","Vil","yes",0,-1,"0.41","0.63","0.73"
"14","H","Cad","yes",3,4,"1.74","-0.58","0.16"
"15","A","Mal","yes",1,0,"0.69","0.37","0.53"
"16","H","Bil","yes",1,0,"1.54","-0.40","0.13"
"17","A","Ala","yes",1,0,"0.85","0.23","0.36"
"18","H","Osa","yes",3,1,"1.36","-0.23","0.13"
"19","H","RMa","yes",3,1,"0.61","0.44","0.57"
"20","A","Sev","yes",0,-1,"0.23","0.79","1.36"
"21","H","Gra","yes",3,2,"1.89","-0.71","0.64"
"22","A","RSo","yes",1,0,"0.41","0.63","1.27"
"23","H","Lev","yes",3,3,"2.19","-0.99","0.28"
"24","A","Atl","yes",0,-1,"0.34","0.69","0.97"
"25","A","Cad","yes",1,0,"1.13","-0.02","0.95"
"26","H","Ala","yes",1,0,"2.14","-0.94","0.01"
"27","A","Esp","yes",0,-2,"0.44","0.60","0.61"
"28","H","Val","yes",1,0,"1.47","-0.33","0.27"
"29","A","Bil","yes",1,0,"0.52","0.53","0.80"
"30","H","Mal","yes",3,1,"2.10","-0.91","-0.11"
"31","A","RMa","yes",0,-2,"0.29","0.74","0.63"
"32","H","Vil","no",NA,NA,"1.76","-0.60","0.04"
"33","A","Cel","no",NA,NA,"0.80","0.27","0.31"
"34","H","Bet","no",NA,NA,"1.03","0.06","0.37"
"35","H","Ray","no",NA,NA,"2.19","-0.99","-0.61"
"36","A","Osa","no",NA,NA,"0.82","0.26","-0.36"
"37","H","Bar","no",NA,NA,"1.13","-0.03","-0.39"
"38","A","Elc","no",NA,NA,"0.68","0.39","-0.00"
