"","HA","vs","played","Pts","GD","ePts","sched","cumulative"
"1","A","Cel","yes",3,1,"1.74","-0.03","-0.03"
"2","H","Elc","yes",3,1,"2.13","-0.26","-0.29"
"3","H","Vil","yes",1,0,"2.13","-0.26","-0.55"
"4","A","Esp","yes",3,1,"1.15","0.32","-0.24"
"5","H","Bil","yes",1,0,"1.94","-0.14","-0.38"
"6","A","Get","yes",3,1,"1.41","0.16","-0.22"
"7","A","Ala","yes",0,-1,"1.56","0.08","-0.14"
"8","H","Bar","yes",3,2,"1.45","0.15","0.00"
"9","H","RSo","yes",1,0,"1.87","-0.11","-0.10"
"10","A","Lev","yes",1,0,"1.78","-0.05","-0.15"
"11","H","Bet","yes",3,3,"1.56","0.08","-0.07"
"12","A","Val","yes",1,0,"1.61","0.05","-0.03"
"13","H","Osa","yes",3,1,"1.79","-0.06","-0.08"
"14","A","Cad","yes",3,3,"2.05","-0.21","-0.30"
"15","H","Mal","yes",0,-1,"2.47","-0.46","-0.75"
"16","A","RMa","yes",0,-2,"0.75","0.56","-0.20"
"17","A","Sev","yes",0,-1,"0.78","0.54","0.34"
"18","A","Gra","yes",0,-1,"1.80","-0.06","0.28"
"19","H","Ray","yes",3,2,"2.30","-0.36","-0.08"
"20","A","Vil","yes",1,0,"0.97","0.43","0.34"
"21","H","Val","yes",3,1,"1.97","-0.17","0.18"
"22","A","Bar","yes",0,-2,"0.98","0.42","0.60"
"23","H","Get","yes",3,1,"2.37","-0.40","0.20"
"24","H","Lev","yes",0,-1,"2.39","-0.41","-0.22"
"25","A","Osa","yes",3,3,"1.64","0.03","-0.19"
"26","H","Cel","yes",3,2,"1.91","-0.13","-0.32"
"27","A","Bet","yes",3,2,"1.32","0.22","-0.10"
"28","H","Cad","yes",3,1,"2.03","-0.20","-0.30"
"29","A","Ray","yes",3,1,"1.22","0.28","-0.02"
"30","H","Ala","yes",3,3,"2.52","-0.49","-0.51"
"31","A","Mal","yes",0,-1,"1.55","0.08","-0.42"
"32","H","Esp","yes",3,1,"2.45","-0.45","-0.88"
"33","H","Gra","yes",1,0,"2.17","-0.28","-1.16"
"34","A","Bil","yes",0,-2,"1.24","0.27","-0.89"
"35","H","RMa","no",NA,NA,"0.86","0.49","-0.40"
"36","A","Elc","no",NA,NA,"1.51","0.11","-0.29"
"37","H","Sev","no",NA,NA,"1.76","-0.04","-0.33"
"38","A","RSo","no",NA,NA,"1.13","0.33","-0.00"
