"","HA","vs","played","Pts","GD","GS","ePts","sched","cumulative"
"1","H","Ata","yes",0,-2,0,"0.27","0.52","0.52"
"2","H","Juv","yes",1,0,0,"0.32","0.43","0.95"
"3","A","Sal","yes",0,-4,0,"0.90","-0.60","0.35"
"4","H","Laz","yes",1,0,1,"0.31","0.46","0.81"
"5","A","Ver","yes",0,-1,1,"1.01","-0.79","0.03"
"6","H","Mil","yes",0,-1,1,"0.42","0.26","0.29"
"7","A","Spe","yes",0,-1,1,"0.88","-0.56","-0.28"
"8","H","Mon","yes",0,-3,0,"0.51","0.10","-0.18"
"9","A","Bol","yes",1,0,1,"0.62","-0.09","-0.27"
"10","H","Rom","yes",0,-1,0,"0.20","0.65","0.37"
"11","A","Cre","yes",3,1,1,"1.65","-1.92","-1.55"
"12","A","Int","yes",0,-3,0,"0.20","0.65","-0.90"
"13","H","Fir","yes",0,-2,0,"0.64","-0.13","-1.03"
"14","A","Tor","yes",0,-2,0,"0.67","-0.18","-1.22"
"15","H","Lec","yes",0,-2,0,"0.65","-0.16","-1.38"
"16","A","Sas","yes",3,1,2,"0.66","-0.17","-1.55"
"17","H","Nap","yes",0,-2,0,"0.09","0.85","-0.70"
"18","A","Emp","yes",0,-1,0,"0.68","-0.20","-0.90"
"19","H","Udi","yes",0,-1,0,"0.43","0.24","-0.66"
"20","A","Ata","yes",0,-2,0,"0.47","0.17","-0.50"
"21","A","Mon","yes",1,0,2,"0.71","-0.27","-0.76"
"22","H","Int","no",NA,NA,NA,"0.29","0.49","-0.27"
"23","H","Bol","no",NA,NA,NA,"0.42","0.25","-0.02"
"24","A","Laz","no",NA,NA,NA,"0.38","0.32","0.30"
"25","H","Sal","no",NA,NA,NA,"0.59","-0.04","0.26"
"26","A","Juv","no",NA,NA,NA,"0.27","0.52","0.78"
"27","H","Ver","no",NA,NA,NA,"1.02","-0.81","-0.04"
"28","A","Rom","no",NA,NA,NA,"0.35","0.38","0.35"
"29","H","Cre","no",NA,NA,NA,"1.08","-0.92","-0.58"
"30","A","Lec","no",NA,NA,NA,"0.83","-0.48","-1.05"
"31","H","Spe","no",NA,NA,NA,"0.73","-0.29","-1.34"
"32","A","Fir","no",NA,NA,NA,"0.67","-0.19","-1.54"
"33","H","Tor","no",NA,NA,NA,"0.41","0.27","-1.27"
"34","A","Udi","no",NA,NA,NA,"0.63","-0.12","-1.39"
"35","H","Emp","no",NA,NA,NA,"0.49","0.13","-1.26"
"36","A","Mil","no",NA,NA,NA,"0.22","0.60","-0.66"
"37","H","Sas","no",NA,NA,NA,"0.66","-0.17","-0.83"
"38","A","Nap","no",NA,NA,NA,"0.10","0.83","0.00"
