"","HA","vs","played","Pts","GD","GS","ePts","sched","cumulative"
"1","A","Esp","yes",0,-1,1,"0.93","0.54","0.54"
"2","H","Elc","yes",1,0,1,"2.82","-0.40","0.14"
"3","A","Ala","yes",1,0,1,"1.46","0.28","0.42"
"4","H","Vil","yes",3,2,2,"2.00","0.01","0.43"
"5","A","Mal","yes",1,0,1,"1.50","0.26","0.68"
"6","H","Ray","yes",3,1,3,"2.71","-0.34","0.34"
"7","H","RMa","yes",3,3,5,"2.14","-0.06","0.29"
"8","A","Cel","yes",1,0,1,"1.75","0.13","0.42"
"9","H","Osa","yes",3,1,1,"2.87","-0.42","-0.00"
"10","A","Bet","yes",3,2,2,"1.50","0.26","0.26"
"11","H","Sev","yes",3,3,3,"2.65","-0.31","-0.05"
"12","H","Lev","yes",3,2,3,"2.81","-0.39","-0.45"
"13","A","Get","yes",3,1,1,"1.68","0.17","-0.28"
"14","H","Ovi","yes",3,2,2,"2.85","-0.41","-0.69"
"15","A","FCB","yes",0,-2,1,"0.16","0.92","0.23"
"16","A","Ath","yes",0,-1,0,"1.32","0.34","0.57"
"17","H","Val","yes",3,1,2,"2.83","-0.40","0.18"
"18","A","Gir","no",NA,NA,NA,"1.94","0.04","0.22"
"19","A","RSo","no",NA,NA,NA,"1.64","0.19","0.41"
"20","H","Ala","no",NA,NA,NA,"2.81","-0.39","0.01"
"21","H","Mal","no",NA,NA,NA,"2.82","-0.40","-0.38"
"22","A","Lev","no",NA,NA,NA,"2.43","-0.20","-0.59"
"23","H","Bet","no",NA,NA,NA,"2.58","-0.28","-0.86"
"24","A","Ray","no",NA,NA,NA,"1.59","0.21","-0.65"
"25","H","Esp","no",NA,NA,NA,"2.56","-0.27","-0.92"
"26","A","Ovi","no",NA,NA,NA,"2.26","-0.12","-1.03"
"27","H","RSo","no",NA,NA,NA,"2.79","-0.38","-1.42"
"28","H","Get","no",NA,NA,NA,"2.66","-0.32","-1.73"
"29","A","RMa","no",NA,NA,NA,"0.33","0.84","-0.89"
"30","H","FCB","no",NA,NA,NA,"2.21","-0.09","-0.99"
"31","A","Sev","no",NA,NA,NA,"1.73","0.14","-0.85"
"32","H","Ath","no",NA,NA,NA,"2.74","-0.36","-1.20"
"33","A","Elc","no",NA,NA,NA,"1.09","0.46","-0.74"
"34","A","Val","no",NA,NA,NA,"1.69","0.16","-0.58"
"35","H","Cel","no",NA,NA,NA,"2.32","-0.15","-0.73"
"36","A","Osa","no",NA,NA,NA,"1.45","0.28","-0.45"
"37","H","Gir","no",NA,NA,NA,"2.77","-0.37","-0.82"
"38","A","Vil","no",NA,NA,NA,"0.37","0.82","0.00"
