"","HA","vs","played","Pts","GD","GS","ePts","sched","cumulative"
"1","A","Gil","yes",0,-1,0,"1.17","-0.65","-0.65"
"2","H","Pse","yes",0,-3,0,"0.82","-0.17","-0.82"
"3","H","Est","yes",0,-3,0,"0.88","-0.24","-1.06"
"4","A","Ben","yes",0,-1,2,"0.14","0.80","-0.26"
"5","A","Boa","yes",0,-1,0,"0.66","0.07","-0.19"
"6","H","Cas","yes",0,-1,2,"0.39","0.45","0.26"
"7","A","SCl","yes",1,0,1,"1.32","-0.86","-0.60"
"8","H","Aro","yes",1,0,1,"0.68","0.04","-0.56"
"9","H","Gui","yes",0,-1,0,"0.67","0.05","-0.51"
"10","A","Fam","yes",0,-1,1,"0.71","-0.00","-0.51"
"11","H","Mar","yes",0,-1,0,"1.22","-0.73","-1.24"
"12","A","Pto","yes",0,-4,0,"0.14","0.80","-0.44"
"13","H","Viz","yes",0,-2,0,"0.59","0.16","-0.28"
"14","A","Spo","yes",0,-3,0,"0.27","0.61","0.34"
"15","H","Cha","yes",1,0,1,"0.44","0.38","0.72"
"16","A","Rio","yes",3,1,1,"0.83","-0.17","0.55"
"17","H","Bra","yes",0,-1,1,"0.13","0.81","1.36"
"18","H","Ben","yes",0,-2,0,"0.10","0.86","2.22"
"19","H","Gil","yes",3,1,2,"0.76","-0.07","2.15"
"20","A","Pse","yes",0,-1,0,"0.87","-0.23","1.92"
"21","A","Est","yes",3,2,3,"1.01","-0.42","1.50"
"22","H","Boa","no",NA,NA,NA,"0.81","-0.15","1.35"
"23","A","Cas","no",NA,NA,NA,"0.90","-0.27","1.08"
"24","H","SCl","no",NA,NA,NA,"1.28","-0.82","0.26"
"25","A","Aro","no",NA,NA,NA,"0.60","0.15","0.41"
"26","A","Gui","no",NA,NA,NA,"0.49","0.31","0.72"
"27","H","Fam","no",NA,NA,NA,"0.92","-0.30","0.42"
"28","A","Mar","no",NA,NA,NA,"1.26","-0.78","-0.36"
"29","H","Pto","no",NA,NA,NA,"0.20","0.72","0.36"
"30","A","Viz","no",NA,NA,NA,"1.04","-0.46","-0.11"
"31","H","Spo","no",NA,NA,NA,"0.33","0.53","0.43"
"32","A","Cha","no",NA,NA,NA,"1.29","-0.83","-0.40"
"33","H","Rio","no",NA,NA,NA,"0.80","-0.13","-0.54"
"34","A","Bra","no",NA,NA,NA,"0.33","0.54","0.00"
