"","HA","vs","played","Pts","GD","GS","ePts","sched","cumulative"
"1","A","New","yes",0,-1,0,"0.18","0.45","0.45"
"2","H","Not","yes",0,-1,0,"0.18","0.44","0.89"
"3","A","Bre","yes",0,-2,1,"0.28","0.15","1.04"
"4","H","MnU","yes",0,-3,0,"0.39","-0.18","0.86"
"5","H","Ips","yes",1,0,1,"0.52","-0.58","0.28"
"6","A","Bou","yes",0,-2,1,"0.31","0.06","0.34"
"7","A","Ars","yes",0,-2,1,"0.12","0.64","0.98"
"8","H","Lei","yes",0,-1,2,"0.84","-1.55","-0.58"
"9","A","MnC","yes",0,-1,0,"0.17","0.49","-0.08"
"10","H","Eve","yes",3,1,1,"0.48","-0.45","-0.54"
"11","A","Wol","yes",0,-2,0,"0.51","-0.56","-1.10"
"12","H","Liv","yes",0,-1,2,"0.09","0.72","-0.38"
"13","A","BHA","yes",1,0,1,"0.27","0.19","-0.19"
"14","H","Che","yes",0,-4,1,"0.29","0.13","-0.07"
"15","A","Ast","yes",0,-1,0,"0.18","0.45","0.39"
"16","H","Tot","yes",0,-5,0,"0.41","-0.24","0.15"
"17","A","Ful","yes",1,0,0,"0.25","0.24","0.39"
"18","H","WHU","yes",0,-1,0,"0.35","-0.07","0.32"
"19","A","Pal","yes",0,-1,1,"0.39","-0.20","0.12"
"20","H","Bre","yes",0,-5,0,"0.35","-0.06","0.06"
"21","A","MnU","yes",0,-2,1,"0.36","-0.09","-0.03"
"22","A","Not","yes",0,-1,2,"0.14","0.58","0.55"
"23","H","New","yes",0,-2,1,"0.20","0.39","0.95"
"24","A","Ips","yes",3,1,2,"1.05","-2.20","-1.25"
"25","H","Bou","yes",0,-2,1,"0.25","0.25","-1.01"
"26","H","BHA","yes",0,-4,0,"0.24","0.28","-0.72"
"27","A","Che","yes",0,-4,0,"0.15","0.54","-0.18"
"28","A","Liv","yes",0,-2,1,"0.07","0.77","0.59"
"29","H","Wol","yes",0,-1,1,"0.37","-0.13","0.47"
"30","H","Pal","yes",1,0,1,"0.24","0.27","0.74"
"31","A","Tot","yes",0,-2,1,"0.38","-0.17","0.57"
"32","H","Ast","no",NA,NA,NA,"0.26","0.21","0.78"
"33","A","WHU","no",NA,NA,NA,"0.41","-0.26","0.52"
"34","H","Ful","no",NA,NA,NA,"0.23","0.31","0.83"
"35","A","Lei","no",NA,NA,NA,"0.83","-1.53","-0.70"
"36","H","MnC","no",NA,NA,NA,"0.24","0.26","-0.44"
"37","A","Eve","no",NA,NA,NA,"0.36","-0.08","-0.52"
"38","H","Ars","no",NA,NA,NA,"0.16","0.52","0.00"
