"","HA","vs","played","Pts","GD","GS","ePts","sched","cumulative"
"1","A","Alm","yes",3,1,2,"2.08","0.09","0.09"
"2","A","Cel","yes",3,3,4,"2.43","-0.06","0.03"
"3","A","Esp","yes",3,2,3,"2.54","-0.11","-0.08"
"4","H","Bet","yes",3,1,2,"2.38","-0.04","-0.12"
"5","H","Mal","yes",3,3,4,"2.34","-0.02","-0.14"
"6","A","Atl","yes",3,1,2,"2.19","0.05","-0.10"
"7","H","Osa","yes",1,0,1,"2.35","-0.02","-0.12"
"8","A","Get","yes",3,1,1,"2.47","-0.08","-0.20"
"9","H","Bar","yes",3,2,3,"1.08","0.53","0.33"
"10","A","Elc","yes",3,3,3,"2.79","-0.22","0.11"
"11","H","Sev","yes",3,2,3,"2.44","-0.06","0.05"
"12","H","Gir","yes",1,0,1,"2.61","-0.14","-0.09"
"13","A","Ray","yes",0,-1,2,"2.25","0.02","-0.07"
"14","H","Cad","yes",3,1,2,"2.56","-0.12","-0.19"
"15","A","Vdd","yes",3,2,2,"2.38","-0.04","-0.23"
"16","A","Vil","yes",0,-1,1,"1.72","0.25","0.02"
"17","A","Bil","yes",3,2,2,"2.14","0.06","0.09"
"18","H","RSo","no",NA,NA,NA,"1.77","0.23","0.31"
"19","H","Val","no",NA,NA,NA,"2.51","-0.09","0.22"
"20","A","Mal","no",NA,NA,NA,"2.27","0.01","0.23"
"21","H","Elc","no",NA,NA,NA,"2.78","-0.21","0.02"
"22","A","Osa","no",NA,NA,NA,"1.94","0.15","0.17"
"23","H","Atl","no",NA,NA,NA,"2.02","0.12","0.29"
"24","A","Bet","no",NA,NA,NA,"2.00","0.13","0.42"
"25","H","Esp","no",NA,NA,NA,"2.38","-0.04","0.38"
"26","A","Bar","no",NA,NA,NA,"1.43","0.38","0.75"
"27","H","Vdd","no",NA,NA,NA,"2.69","-0.17","0.58"
"28","H","Vil","no",NA,NA,NA,"2.36","-0.03","0.55"
"29","A","Cad","no",NA,NA,NA,"2.55","-0.11","0.44"
"30","H","Cel","no",NA,NA,NA,"2.60","-0.13","0.31"
"31","A","Gir","no",NA,NA,NA,"2.27","0.01","0.31"
"32","H","Alm","no",NA,NA,NA,"2.74","-0.19","0.12"
"33","A","RSo","no",NA,NA,NA,"1.82","0.21","0.33"
"34","H","Get","no",NA,NA,NA,"2.57","-0.12","0.20"
"35","A","Val","no",NA,NA,NA,"2.41","-0.05","0.15"
"36","H","Ray","no",NA,NA,NA,"2.30","-0.00","0.15"
"37","A","Sev","no",NA,NA,NA,"2.47","-0.08","0.07"
"38","H","Bil","no",NA,NA,NA,"2.46","-0.07","-0.00"
