"","HA","vs","played","Pts","GD","GS","ePts","sched","cumulative"
"1","A","Bil","yes",1,0,0,"1.01","0.23","0.23"
"2","H","Bet","yes",0,-1,1,"1.32","-0.01","0.22"
"3","A","Ray","yes",3,2,2,"1.14","0.13","0.35"
"4","H","Gir","yes",1,0,1,"1.91","-0.46","-0.11"
"5","A","RMa","yes",0,-3,1,"0.40","0.70","0.59"
"6","H","Alm","yes",3,1,1,"2.20","-0.68","-0.09"
"7","H","Bar","yes",0,-1,0,"0.32","0.76","0.67"
"8","A","Elc","yes",1,0,1,"2.28","-0.74","-0.08"
"9","H","Sev","yes",0,-1,0,"1.54","-0.18","-0.25"
"10","A","RSo","yes",0,-1,0,"0.68","0.48","0.22"
"11","A","Val","yes",3,1,2,"1.38","-0.06","0.17"
"12","H","Esp","yes",1,0,1,"1.54","-0.17","-0.00"
"13","A","Vil","yes",3,2,2,"0.64","0.51","0.51"
"14","H","Atl","yes",3,1,1,"0.84","0.36","0.87"
"15","A","Get","yes",0,-2,0,"1.58","-0.21","0.66"
"16","H","Vdd","yes",3,1,1,"2.09","-0.59","0.07"
"17","A","Osa","yes",0,-1,0,"0.91","0.31","0.37"
"18","H","Cel","yes",3,1,1,"1.87","-0.43","-0.05"
"19","A","Cad","yes",0,-2,0,"1.46","-0.11","-0.17"
"20","H","RMa","no",NA,NA,NA,"0.55","0.58","0.42"
"21","A","Sev","no",NA,NA,NA,"1.41","-0.07","0.34"
"22","H","Vil","no",NA,NA,NA,"1.40","-0.07","0.27"
"23","A","Esp","no",NA,NA,NA,"1.65","-0.26","0.02"
"24","H","Elc","no",NA,NA,NA,"2.36","-0.80","-0.79"
"25","H","RSo","no",NA,NA,NA,"0.72","0.45","-0.34"
"26","A","Bet","no",NA,NA,NA,"0.82","0.38","0.04"
"27","H","Osa","no",NA,NA,NA,"1.40","-0.07","-0.03"
"28","A","Vdd","no",NA,NA,NA,"1.19","0.09","0.06"
"29","A","Cel","no",NA,NA,NA,"1.41","-0.08","-0.02"
"30","H","Get","no",NA,NA,NA,"1.83","-0.40","-0.42"
"31","A","Atl","no",NA,NA,NA,"1.04","0.21","-0.21"
"32","H","Bil","no",NA,NA,NA,"1.57","-0.20","-0.41"
"33","A","Gir","no",NA,NA,NA,"1.18","0.10","-0.31"
"34","H","Cad","no",NA,NA,NA,"1.77","-0.35","-0.67"
"35","A","Alm","no",NA,NA,NA,"0.82","0.38","-0.29"
"36","H","Val","no",NA,NA,NA,"1.79","-0.37","-0.66"
"37","A","Bar","no",NA,NA,NA,"0.45","0.66","-0.00"
"38","H","Ray","no",NA,NA,NA,"1.31","0.00","0.00"
