"","HA","vs","played","Pts","GD","GS","ePts","sched","cumulative"
"1","H","Ray","yes",1,0,0,"2.17","0.08","0.08"
"2","A","RSo","yes",3,3,4,"2.16","0.08","0.17"
"3","H","Vdd","yes",3,4,4,"2.60","-0.10","0.07"
"4","A","Sev","yes",3,3,3,"2.71","-0.15","-0.08"
"5","A","Cad","yes",3,4,4,"2.70","-0.14","-0.22"
"6","H","Elc","yes",3,3,3,"2.74","-0.16","-0.38"
"7","A","Mal","yes",3,1,1,"2.51","-0.06","-0.44"
"8","H","Cel","yes",3,1,1,"2.51","-0.06","-0.50"
"9","A","RMa","yes",0,-2,1,"1.72","0.27","-0.23"
"10","H","Vil","yes",3,3,3,"2.24","0.05","-0.18"
"11","H","Bil","yes",3,4,4,"2.35","0.01","-0.17"
"12","A","Val","yes",3,1,1,"2.56","-0.08","-0.25"
"13","H","Alm","yes",3,2,2,"2.70","-0.14","-0.40"
"14","A","Osa","yes",3,1,2,"2.25","0.05","-0.35"
"15","H","Esp","yes",1,0,1,"2.27","0.04","-0.31"
"16","A","Atl","yes",3,1,1,"2.51","-0.06","-0.37"
"17","H","Get","no",NA,NA,NA,"2.46","-0.04","-0.41"
"18","A","Gir","no",NA,NA,NA,"2.51","-0.06","-0.47"
"19","A","Bet","no",NA,NA,NA,"2.30","0.03","-0.44"
"20","H","Sev","no",NA,NA,NA,"2.34","0.01","-0.43"
"21","A","Vil","no",NA,NA,NA,"2.17","0.08","-0.35"
"22","H","Cad","no",NA,NA,NA,"2.38","-0.01","-0.36"
"23","A","Alm","no",NA,NA,NA,"2.38","-0.01","-0.37"
"24","H","Val","no",NA,NA,NA,"2.40","-0.02","-0.38"
"25","A","Bil","no",NA,NA,NA,"2.39","-0.01","-0.39"
"26","H","RMa","no",NA,NA,NA,"1.42","0.40","0.01"
"27","A","Elc","no",NA,NA,NA,"2.87","-0.22","-0.21"
"28","H","Gir","no",NA,NA,NA,"2.52","-0.06","-0.27"
"29","A","Get","no",NA,NA,NA,"2.65","-0.12","-0.39"
"30","H","Atl","no",NA,NA,NA,"1.84","0.22","-0.17"
"31","A","Ray","no",NA,NA,NA,"2.45","-0.04","-0.21"
"32","H","Bet","no",NA,NA,NA,"2.10","0.11","-0.09"
"33","H","Osa","no",NA,NA,NA,"2.10","0.11","0.02"
"34","A","Esp","no",NA,NA,NA,"2.76","-0.17","-0.15"
"35","H","RSo","no",NA,NA,NA,"1.71","0.28","0.13"
"36","A","Vdd","no",NA,NA,NA,"2.59","-0.09","0.03"
"37","H","Mal","no",NA,NA,NA,"2.19","0.07","0.11"
"38","A","Cel","no",NA,NA,NA,"2.62","-0.11","-0.00"
