"","HA","vs","played","Pts","ePts","sched","cumulative"
"1","H","Str","yes",3,"1.64","-0.66","-0.66"
"2","A","StE","yes",0,"0.61","0.38","-0.28"
"3","H","Len","yes",0,"1.17","-0.19","-0.47"
"4","A","Bre","yes",0,"0.32","0.68","0.21"
"5","H","Lyo","yes",1,"0.91","0.08","0.28"
"6","A","Mtz","yes",0,"0.61","0.38","0.67"
"7","A","Rei","yes",3,"0.57","0.42","1.09"
"8","H","Mar","yes",0,"1.46","-0.47","0.61"
"9","A","Dij","yes",1,"1.18","-0.19","0.42"
"10","H","Nan","yes",0,"1.93","-0.95","-0.53"
"11","A","Lil","yes",0,"0.24","0.76","0.23"
"12","H","Mtp","yes",0,"1.37","-0.38","-0.15"
"13","A","Ang","yes",0,"0.62","0.37","0.22"
"14","H","Nim","yes",3,"1.71","-0.73","-0.52"
"15","A","PSG","yes",0,"0.22","0.78","0.26"
"16","H","Ren","yes",0,"1.32","-0.33","-0.07"
"17","A","Nic","yes",1,"0.58","0.42","0.34"
"18","H","Mco","yes",0,"1.00","-0.02","0.33"
"19","A","Bor","yes",0,"0.62","0.37","0.70"
"20","H","Dij","yes",3,"2.28","-1.30","-0.61"
"21","H","PSG","yes",3,"0.67","0.33","-0.28"
"22","A","Ren","yes",1,"0.39","0.61","0.33"
"23","H","Rei","yes",3,"1.62","-0.64","-0.32"
"24","A","Mco","yes",1,"0.16","0.84","0.52"
"25","H","Lil","yes",0,"0.59","0.40","0.92"
"26","A","Nim","yes",0,"0.94","0.04","0.97"
"27","H","StE","yes",3,"1.67","-0.69","0.28"
"28","A","Mtp","yes",1,"0.41","0.59","0.87"
"29","H","Nic","yes",1,"1.46","-0.48","0.39"
"30","A","Nan","yes",1,"0.84","0.15","0.54"
"31","H","Bre","yes",3,"2.20","-1.23","-0.69"
"32","A","Len","yes",0,"0.43","0.56","-0.12"
"33","A","Mar","yes",0,"0.26","0.74","0.62"
"34","H","Bor","no",NA,"1.77","-0.79","-0.17"
"35","H","Ang","no",NA,"1.54","-0.56","-0.74"
"36","A","Lyo","no",NA,"0.20","0.80","0.06"
"37","H","Mtz","no",NA,"1.40","-0.42","-0.36"
"38","A","Str","no",NA,"0.64","0.36","0.00"
