"","HA","vs","played","sched","cumulative"
"1","A","Mtp","yes","0.24","0.24"
"2","H","PSG","yes","0.55","0.78"
"3","A","Str","yes","0.23","1.01"
"4","H","Nic","yes","-0.16","0.85"
"5","A","Bre","yes","0.10","0.95"
"6","H","Lil","yes","-0.03","0.92"
"7","A","Nan","yes","0.18","1.10"
"8","A","Mar","yes","0.58","1.69"
"9","H","Rei","yes","-0.16","1.52"
"10","A","Mco","yes","0.26","1.79"
"11","H","Tou","yes","-0.53","1.26"
"12","H","Ami","yes","-0.41","0.85"
"13","A","Dij","yes","-0.01","0.83"
"14","H","StE","yes","-0.29","0.55"
"15","A","Mtz","yes","0.04","0.59"
"16","H","Ang","yes","-0.26","0.34"
"17","A","Lyo","yes","0.17","0.51"
"18","H","Bor","yes","-0.16","0.35"
"19","H","Mar","yes","0.24","0.58"
"20","A","Nim","yes","-0.03","0.56"
"21","A","Nic","yes","0.20","0.75"
"22","H","Nan","yes","-0.18","0.58"
"23","A","Lil","yes","0.35","0.93"
"24","H","Bre","yes","-0.24","0.69"
"25","A","Rei","yes","0.20","0.89"
"26","H","Nim","no","-0.33","0.56"
"27","A","Tou","no","-0.35","0.21"
"28","H","Mtp","no","-0.13","0.08"
"29","A","Bor","no","0.20","0.28"
"30","H","Lyo","no","-0.18","0.10"
"31","A","Ami","no","-0.16","-0.06"
"32","A","StE","no","0.04","-0.02"
"33","H","Mtz","no","-0.28","-0.30"
"34","H","Str","no","-0.13","-0.44"
"35","A","Ang","no","0.08","-0.36"
"36","H","Dij","no","-0.32","-0.68"
"37","A","PSG","no","0.79","0.11"
"38","H","Mco","no","-0.11","-0.00"
