"","HA","vs","played","Pts","GD","ePts","sched","cumulative"
"1","A","BbR","yes",0,-1,"0.63","0.52","0.52"
"2","H","ShU","yes",1,0,"1.37","-0.03","0.49"
"3","H","Sto","yes",0,-2,"1.53","-0.15","0.34"
"4","A","Bri","yes",3,1,"1.09","0.18","0.52"
"5","A","PNE","yes",0,-2,"1.22","0.08","0.60"
"6","H","Hul","yes",1,0,"1.69","-0.28","0.32"
"7","H","Mil","yes",1,0,"1.70","-0.28","0.04"
"8","A","Lut","yes",1,0,"0.84","0.37","0.41"
"9","H","Hud","yes",3,1,"1.35","-0.02","0.39"
"10","A","Ful","yes",0,-2,"0.75","0.44","0.83"
"11","A","Der","yes",1,0,"0.88","0.33","1.17"
"12","H","Car","yes",3,3,"1.61","-0.21","0.95"
"13","H","WBA","yes",3,1,"1.79","-0.35","0.60"
"14","A","Bir","yes",0,-1,"1.26","0.05","0.65"
"15","H","Pet","yes",3,3,"2.46","-0.85","-0.20"
"16","A","Cov","yes",3,1,"0.92","0.31","0.11"
"17","A","Bou","yes",0,-4,"0.74","0.45","0.56"
"18","H","Bpl","yes",1,0,"1.72","-0.30","0.26"
"19","A","Bar","yes",3,2,"1.47","-0.10","0.16"
"20","H","Rea","yes",0,-1,"1.75","-0.32","-0.16"
"21","A","Mid","yes",0,-1,"0.73","0.45","0.29"
"22","H","Not","yes",0,-3,"1.23","0.07","0.36"
"23","A","Hud","yes",1,0,"0.78","0.42","0.77"
"24","H","PNE","yes",3,1,"1.48","-0.12","0.66"
"25","A","QPR","yes",1,0,"0.85","0.36","1.02"
"26","A","Hul","yes",0,-2,"1.52","-0.14","0.88"
"27","H","Lut","yes",0,-1,"1.42","-0.07","0.81"
"28","H","BbR","yes",3,1,"1.52","-0.14","0.66"
"29","A","Sto","yes",0,-3,"1.14","0.14","0.80"
"30","H","Bri","yes",3,2,"1.92","-0.45","0.36"
"31","A","ShU","yes",0,-4,"0.96","0.28","0.63"
"32","A","WBA","yes",3,2,"0.86","0.35","0.98"
"33","H","Cov","no",NA,NA,"1.55","-0.16","0.82"
"34","H","Ful","no",NA,NA,"0.80","0.40","1.22"
"35","A","Bpl","no",NA,NA,"1.00","0.24","1.46"
"36","A","Pet","no",NA,NA,"1.46","-0.10","1.37"
"37","H","Bir","no",NA,NA,"1.86","-0.40","0.97"
"38","A","Car","no",NA,NA,"1.45","-0.09","0.87"
"39","A","Mil","no",NA,NA,"0.75","0.44","1.31"
"40","H","Der","no",NA,NA,"2.09","-0.57","0.74"
"41","H","Bar","no",NA,NA,"2.29","-0.72","0.01"
"42","A","Rea","no",NA,NA,"1.43","-0.07","-0.06"
"43","H","Mid","no",NA,NA,"1.70","-0.28","-0.34"
"44","H","Bou","no",NA,NA,"1.01","0.24","-0.10"
"45","A","Not","no",NA,NA,"1.14","0.15","0.04"
"46","H","QPR","no",NA,NA,"1.39","-0.04","0.00"
