"","HA","vs","played","Pts","GD","ePts","sched","cumulative"
"1","H","Hud","yes",1,0,"1.75","-0.34","-0.34"
"2","A","Pet","yes",0,-1,"1.11","0.15","-0.19"
"3","A","Hul","yes",3,1,"1.10","0.16","-0.03"
"4","H","Mid","yes",1,0,"1.75","-0.34","-0.37"
"5","H","Not","yes",1,0,"1.38","-0.05","-0.42"
"6","A","Bir","yes",0,-2,"0.92","0.30","-0.13"
"7","A","WBA","yes",1,0,"0.55","0.58","0.45"
"8","H","Sto","yes",3,1,"1.70","-0.30","0.15"
"9","A","ShU","yes",0,-1,"0.85","0.35","0.50"
"10","H","Rea","yes",3,1,"1.98","-0.51","-0.01"
"11","H","Swa","yes",1,0,"2.00","-0.53","-0.55"
"12","A","PNE","yes",1,0,"0.88","0.32","-0.22"
"13","H","Lut","yes",1,0,"1.73","-0.33","-0.55"
"14","A","Cov","yes",1,0,"0.66","0.49","-0.06"
"15","H","BbR","yes",0,-1,"1.68","-0.29","-0.34"
"16","A","Bar","yes",0,-1,"1.28","0.02","-0.33"
"17","A","Mil","yes",1,0,"0.58","0.55","0.23"
"18","H","Bou","yes",3,1,"1.22","0.07","0.29"
"19","A","Ful","yes",1,0,"0.49","0.62","0.92"
"20","H","QPR","yes",0,-1,"1.54","-0.18","0.74"
"21","A","Bri","yes",0,-1,"0.84","0.36","1.10"
"22","H","Bpl","yes",3,1,"1.86","-0.42","0.68"
"23","H","WBA","yes",3,1,"1.92","-0.47","0.21"
"24","A","Sto","yes",3,1,"0.78","0.40","0.61"
"25","A","Rea","yes",1,0,"1.22","0.06","0.67"
"26","H","ShU","yes",3,2,"1.53","-0.17","0.50"
"27","A","Not","yes",0,-1,"0.93","0.29","0.79"
"28","H","Bir","yes",1,0,"1.98","-0.52","0.27"
"29","A","Hud","yes",0,-2,"0.62","0.53","0.80"
"30","H","Hul","yes",3,2,"1.99","-0.53","0.27"
"31","A","Mid","yes",0,-3,"0.56","0.57","0.84"
"32","H","Pet","no",NA,NA,"2.52","-0.93","-0.09"
"33","H","Mil","no",NA,NA,"2.02","-0.55","-0.64"
"34","A","Lut","no",NA,NA,"0.69","0.47","-0.17"
"35","A","Car","no",NA,NA,"1.20","0.08","-0.09"
"36","H","Bar","no",NA,NA,"2.52","-0.93","-1.02"
"37","A","Bou","no",NA,NA,"0.59","0.55","-0.47"
"38","A","BbR","no",NA,NA,"0.50","0.61","0.14"
"39","H","Cov","no",NA,NA,"1.88","-0.44","-0.29"
"40","H","PNE","no",NA,NA,"1.70","-0.30","-0.60"
"41","A","Swa","no",NA,NA,"0.74","0.43","-0.16"
"42","H","Ful","no",NA,NA,"1.03","0.21","0.05"
"43","A","QPR","no",NA,NA,"0.64","0.51","0.56"
"44","H","Bri","no",NA,NA,"2.06","-0.57","-0.02"
"45","A","Bpl","no",NA,NA,"0.82","0.38","0.36"
"46","H","Car","no",NA,NA,"1.77","-0.36","0.00"
