"team","teamId","playedGames","goalDifference","points","rank"
"AC Milan",98,37,35,83,1
"FC Internazionale Milano",108,37,49,81,2
"SSC Napoli",113,37,40,76,3
"Juventus FC",109,38,21,70,4
"SS Lazio",110,38,19,64,5
"AS Roma",100,38,16,63,6
"ACF Fiorentina",99,38,7,62,7
"Atalanta BC",102,38,17,59,8
"Hellas Verona FC",450,38,6,53,9
"US Sassuolo Calcio",471,37,1,50,10
"Torino FC",586,38,5,50,11
"Bologna FC 1909",103,38,-11,46,12
"Udinese Calcio",115,37,-1,44,13
"Empoli FC",445,38,-20,41,14
"UC Sampdoria",584,37,-14,36,15
"Spezia Calcio",488,37,-27,36,16
"US Salernitana 1919",455,37,-41,31,17
"Cagliari Calcio",104,37,-34,29,18
"Genoa CFC",107,38,-33,28,19
"Venezia FC",454,37,-35,26,20
