"","longnames","Pld","GD","Pts","rank","rank+","ePld","Rate"
"Int","Inter Milan",31,41,66,2,1,30.6,2.16
"Mil","AC Milan",32,27,68,1,2,32.5,2.09
"Nap","Napoli",32,32,66,3,3,31.6,2.09
"Juv","Juventus",32,21,62,4,4,31.7,1.96
"Fir","Fiorentina",31,12,53,7,5,30.4,1.75
"Laz","Lazio",32,17,55,6,6,31.7,1.74
"Rom","Roma",32,17,57,5,7,33,1.73
"Ata","Atalanta",31,17,51,8,8,30.2,1.69
"Sas","Sassuolo",32,6,46,9,9,32.5,1.41
"Ver","Verona",32,7,45,10,10,31.9,1.41
"Tor","Torino",31,5,39,11,11,31.9,1.22
"Udi","Udinese",30,-5,36,12,12,29.5,1.22
"Bol","Bologna",30,-12,34,13,13,29.6,1.15
"Emp","Empoli",32,-15,34,14,14,32.3,1.05
"Spe","Spezia",32,-22,33,15,15,34,0.97
"Sam","Sampdoria",31,-13,29,16,16,31.3,0.93
"Cag","Cagliari",32,-31,25,17,17,30.2,0.83
"Ven","Venezia FC",31,-31,22,18,18,31.5,0.7
"Gen","Genoa",32,-28,22,19,19,32.2,0.68
"Sal","Salernitana",30,-45,16,20,20,28,0.57
