"","HA","vs","played","sched","cumulative"
"1","H","Gen","yes","-0.43","-0.43"
"2","A","Laz","yes","0.65","0.23"
"3","H","Sas","yes","-0.22","0.01"
"4","A","Bol","yes","0.14","0.15"
"5","H","Ata","yes","0.24","0.40"
"6","A","Lec","yes","-0.10","0.30"
"7","H","Cag","yes","-0.26","0.04"
"8","A","Sam","yes","-0.03","0.01"
"9","H","Mil","yes","-0.09","-0.08"
"10","A","Udi","yes","0.00","-0.07"
"11","H","Nap","yes","-0.07","-0.14"
"12","A","Par","yes","0.12","-0.02"
"13","H","Bre","yes","-0.51","-0.53"
"14","A","Ver","yes","0.18","-0.35"
"15","A","Int","yes","0.62","0.27"
"16","H","SPA","yes","-0.54","-0.26"
"17","A","Fir","yes","0.03","-0.23"
"18","H","Tor","yes","-0.34","-0.57"
"19","H","Juv","yes","0.50","-0.07"
"20","A","Gen","yes","-0.12","-0.19"
"21","H","Laz","yes","0.31","0.12"
"22","A","Sas","yes","0.17","0.29"
"23","H","Bol","yes","-0.24","0.05"
"24","A","Ata","yes","0.61","0.66"
"25","H","Lec","yes","-0.41","0.25"
"26","A","Cag","yes","0.12","0.37"
"27","H","Sam","yes","-0.37","-0.00"
"28","A","Mil","yes","0.32","0.32"
"29","H","Udi","yes","-0.34","-0.02"
"30","A","Nap","yes","0.34","0.32"
"31","H","Par","yes","-0.25","0.06"
"32","A","Bre","no","-0.26","-0.20"
"33","H","Ver","no","-0.21","-0.41"
"34","H","Int","no","0.26","-0.15"
"35","A","SPA","no","-0.31","-0.46"
"36","H","Fir","no","-0.32","-0.78"
"37","A","Tor","no","0.01","-0.77"
"38","A","Juv","no","0.77","0.00"
