"","HA","vs","played","sched","cumulative"
"1","A","Sam","yes","-0.04","-0.04"
"2","H","Rom","yes","-0.02","-0.05"
"3","A","SPA","yes","-0.12","-0.17"
"4","H","Par","yes","-0.09","-0.25"
"5","A","Int","yes","0.44","0.18"
"6","H","Gen","yes","-0.16","0.02"
"7","A","Bol","yes","0.03","0.05"
"8","H","Ata","yes","0.03","0.08"
"9","A","Fir","yes","-0.01","0.07"
"10","H","Tor","yes","-0.14","-0.07"
"11","A","Mil","yes","0.08","0.01"
"12","H","Lec","yes","-0.16","-0.16"
"13","A","Sas","yes","0.02","-0.14"
"14","H","Udi","yes","-0.16","-0.30"
"15","H","Juv","yes","0.31","0.01"
"16","A","Cag","yes","0.04","0.05"
"17","A","Bre","yes","-0.13","-0.07"
"18","H","Nap","yes","-0.07","-0.15"
"19","H","Sam","yes","-0.15","-0.30"
"20","A","Rom","yes","0.22","-0.08"
"21","H","SPA","yes","-0.19","-0.27"
"22","H","Ver","yes","-0.10","-0.37"
"23","A","Par","yes","0.10","-0.27"
"24","H","Int","yes","0.14","-0.14"
"25","A","Gen","yes","-0.05","-0.19"
"26","H","Bol","yes","-0.12","-0.31"
"27","A","Ata","no","0.29","-0.02"
"28","H","Fir","no","-0.14","-0.16"
"29","A","Tor","no","-0.01","-0.17"
"30","H","Mil","no","-0.10","-0.27"
"31","A","Lec","no","-0.06","-0.33"
"32","H","Sas","no","-0.13","-0.46"
"33","A","Udi","no","-0.04","-0.50"
"34","A","Juv","no","0.61","0.12"
"35","H","Cag","no","-0.12","0.00"
"36","A","Ver","no","0.07","0.07"
"37","H","Bre","no","-0.20","-0.12"
"38","A","Nap","no","0.12","-0.00"
