"","HA","vs","played","sched","cumulative"
"1","A","Cag","yes","0.17","0.17"
"2","A","Mil","yes","0.51","0.67"
"3","H","Bol","yes","-0.40","0.28"
"4","A","Udi","yes","0.01","0.29"
"5","H","Juv","yes","0.64","0.93"
"6","A","Nap","yes","0.49","1.42"
"7","H","Fir","yes","-0.45","0.97"
"8","A","Gen","yes","-0.11","0.87"
"9","H","Int","yes","0.46","1.33"
"10","A","Ver","yes","0.30","1.63"
"11","H","Tor","yes","-0.61","1.02"
"12","A","Rom","yes","0.55","1.57"
"13","H","Ata","yes","0.44","2.01"
"14","A","SPA","yes","-0.73","1.28"
"15","H","Lec","yes","-0.93","0.34"
"16","H","Sas","yes","-0.18","0.16"
"17","A","Par","yes","0.15","0.31"
"18","H","Laz","yes","0.41","0.72"
"19","A","Sam","yes","0.18","0.90"
"20","H","Cag","yes","-0.49","0.42"
"21","H","Mil","yes","0.03","0.45"
"22","A","Bol","yes","0.23","0.68"
"23","H","Udi","yes","-0.69","-0.01"
"24","A","Juv","yes","0.83","0.82"
"25","H","Nap","yes","0.01","0.83"
"26","A","Sas","yes","0.37","1.20"
"27","A","Fir","yes","0.19","1.40"
"28","H","Gen","yes","-0.83","0.56"
"29","A","Int","yes","0.74","1.31"
"30","H","Ver","yes","-0.29","1.01"
"31","A","Tor","yes","0.08","1.09"
"32","H","Rom","yes","0.10","1.19"
"33","A","Ata","yes","0.73","1.92"
"34","H","SPA","yes","-1.48","0.45"
"35","A","Lec","no","-0.19","0.25"
"36","H","Par","no","-0.50","-0.25"
"37","A","Laz","no","0.71","0.46"
"38","H","Sam","no","-0.46","-0.00"
