"","HA","vs","played","sched","cumulative"
"1","H","Bol","yes","-0.30","-0.30"
"2","A","Lec","yes","-0.16","-0.46"
"3","H","Mil","yes","-0.03","-0.49"
"4","A","Juv","yes","0.78","0.29"
"5","H","Udi","yes","-0.46","-0.17"
"6","A","Cag","yes","0.10","-0.07"
"7","H","Sam","yes","-0.35","-0.42"
"8","A","Nap","yes","0.40","-0.02"
"9","H","Sas","yes","-0.18","-0.20"
"10","A","Par","yes","0.09","-0.10"
"11","H","Bre","yes","-0.68","-0.79"
"12","A","Int","yes","0.68","-0.11"
"13","H","Fir","yes","-0.34","-0.45"
"14","H","Rom","yes","0.02","-0.43"
"15","A","Ata","yes","0.66","0.23"
"16","H","Tor","yes","-0.42","-0.19"
"17","A","SPA","yes","-0.46","-0.65"
"18","H","Gen","yes","-0.53","-1.17"
"19","A","Bol","yes","0.17","-1.01"
"20","H","Lec","yes","-0.57","-1.58"
"21","A","Mil","yes","0.42","-1.16"
"22","A","Laz","yes","0.66","-0.51"
"23","H","Juv","yes","0.52","0.01"
"24","A","Udi","yes","-0.02","-0.01"
"25","A","Sam","yes","0.12","0.11"
"26","H","Cag","yes","-0.36","-0.25"
"27","H","Nap","yes","-0.05","-0.30"
"28","A","Sas","yes","0.28","-0.01"
"29","H","Par","yes","-0.37","-0.38"
"30","A","Bre","yes","-0.31","-0.70"
"31","H","Int","yes","0.34","-0.36"
"32","A","Fir","yes","0.13","-0.23"
"33","A","Rom","yes","0.46","0.23"
"34","H","Ata","yes","0.31","0.54"
"35","A","Tor","no","0.03","0.57"
"36","H","Laz","no","0.30","0.87"
"37","H","SPA","no","-0.77","0.10"
"38","A","Gen","no","-0.10","-0.00"
