"","HA","vs","played","Pts","GD","ePts","sched","cumulative"
"1","A","Tor","yes",3,1,"2.20","-0.23","-0.23"
"2","H","Bol","yes",1,0,"1.51","0.15","-0.08"
"3","H","Fir","yes",0,-1,"1.34","0.25","0.17"
"4","A","Sal","yes",3,1,"2.72","-0.52","-0.35"
"5","H","Sas","yes",3,1,"1.15","0.35","0.00"
"6","A","Int","yes",1,0,"1.50","0.16","0.16"
"7","H","Mil","yes",0,-1,"0.42","0.76","0.93"
"8","A","Emp","yes",3,3,"2.64","-0.48","0.45"
"9","H","Udi","yes",1,0,"1.60","0.10","0.56"
"10","A","Sam","yes",3,2,"2.59","-0.45","0.11"
"11","H","Laz","yes",1,0,"1.18","0.34","0.45"
"12","A","Cag","yes",3,1,"2.66","-0.49","-0.04"
"13","H","Spe","yes",3,3,"1.37","0.23","0.19"
"14","A","Juv","yes",3,1,"2.04","-0.14","0.05"
"15","H","Ven","yes",3,4,"1.50","0.16","0.22"
"16","A","Nap","yes",3,1,"2.04","-0.14","0.07"
"17","A","Ver","yes",3,1,"2.18","-0.22","-0.15"
"18","H","Rom","yes",0,-3,"1.29","0.28","0.13"
"19","A","Gen","yes",1,0,"2.74","-0.54","-0.41"
"20","A","Udi","yes",3,4,"2.38","-0.33","-0.74"
"21","H","Int","yes",1,0,"0.62","0.65","-0.09"
"22","A","Laz","yes",1,0,"1.96","-0.10","-0.19"
"23","H","Cag","yes",0,-1,"1.50","0.16","-0.03"
"24","H","Juv","no",NA,NA,"0.69","0.61","0.59"
"25","A","Fir","no",NA,NA,"2.04","-0.14","0.44"
"26","H","Sam","no",NA,NA,"1.58","0.11","0.56"
"27","A","Rom","no",NA,NA,"2.10","-0.17","0.38"
"28","H","Gen","no",NA,NA,"1.71","0.04","0.43"
"29","A","Bol","no",NA,NA,"2.39","-0.34","0.09"
"30","H","Nap","no",NA,NA,"0.50","0.72","0.80"
"31","A","Sas","no",NA,NA,"2.59","-0.45","0.35"
"32","H","Ver","no",NA,NA,"1.47","0.18","0.53"
"33","A","Ven","no",NA,NA,"2.63","-0.48","0.06"
"34","H","Sal","no",NA,NA,"1.82","-0.02","0.04"
"35","A","Spe","no",NA,NA,"2.58","-0.45","-0.41"
"36","A","Mil","no",NA,NA,"2.07","-0.16","-0.56"
"37","H","Emp","no",NA,NA,"0.91","0.49","-0.07"
"38","H","Tor","no",NA,NA,"1.65","0.07","0.00"
