"","HA","vs","played","Pts","GD","ePts","sched","cumulative"
"1","H","Laz","yes",0,-2,"0.80","0.28","0.28"
"2","A","Juv","yes",3,1,"0.94","0.15","0.43"
"3","H","Ven","yes",0,-1,"1.45","-0.31","0.13"
"4","H","Sam","yes",0,-3,"1.34","-0.21","-0.08"
"5","A","Cag","yes",3,2,"1.85","-0.66","-0.74"
"6","H","Bol","yes",3,2,"1.22","-0.09","-0.83"
"7","A","Rom","yes",0,-2,"0.88","0.21","-0.62"
"8","H","Ata","yes",0,-3,"0.43","0.62","-0.01"
"9","A","Sal","yes",3,2,"1.80","-0.61","-0.62"
"10","H","Int","yes",0,-2,"0.46","0.59","-0.03"
"11","A","Sas","yes",3,1,"1.41","-0.27","-0.30"
"12","H","Gen","yes",1,0,"1.58","-0.42","-0.72"
"13","A","Ver","yes",0,-1,"1.14","-0.03","-0.75"
"14","H","Fir","yes",3,1,"1.10","0.01","-0.74"
"15","A","Tor","yes",1,0,"1.19","-0.07","-0.80"
"16","H","Udi","yes",3,2,"1.09","0.02","-0.78"
"17","A","Nap","yes",3,1,"0.92","0.18","-0.60"
"18","A","Spe","yes",1,0,"1.69","-0.51","-1.12"
"19","H","Mil","yes",0,-2,"0.29","0.74","-0.38"
"20","A","Laz","yes",1,0,"0.88","0.21","-0.17"
"21","H","Sas","yes",0,-4,"0.86","0.23","0.06"
"22","A","Ven","yes",1,0,"1.88","-0.69","-0.63"
"23","H","Rom","yes",0,-2,"0.84","0.24","-0.38"
"24","A","Bol","yes",1,0,"1.23","-0.10","-0.49"
"25","H","Cag","yes",1,0,"1.32","-0.19","-0.67"
"26","A","Sam","yes",0,-2,"1.55","-0.39","-1.06"
"27","H","Juv","yes",0,-1,"0.56","0.50","-0.57"
"28","A","Gen","yes",1,0,"1.74","-0.56","-1.13"
"29","A","Mil","yes",0,-1,"0.75","0.33","-0.80"
"30","H","Ver","yes",1,0,"0.99","0.11","-0.69"
"31","A","Fir","yes",0,-1,"0.65","0.41","-0.28"
"32","H","Spe","yes",1,0,"1.20","-0.08","-0.35"
"33","A","Udi","yes",0,-3,"1.37","-0.23","-0.59"
"34","H","Nap","yes",3,1,"0.35","0.68","0.10"
"35","H","Tor","yes",0,-2,"1.08","0.03","0.13"
"36","A","Int","yes",0,-2,"0.54","0.52","0.64"
"37","H","Sal","yes",1,0,"1.29","-0.16","0.48"
"38","A","Ata","yes",3,1,"1.65","-0.48","-0.00"
