"","HA","vs","played","Pts","GD","ePts","sched","cumulative"
"1","H","Laz","yes",0,-2,"0.81","0.28","0.28"
"2","A","Juv","yes",3,1,"0.94","0.16","0.44"
"3","H","Ven","yes",0,-1,"1.46","-0.31","0.13"
"4","H","Sam","yes",0,-3,"1.36","-0.22","-0.10"
"5","A","Cag","yes",3,2,"1.84","-0.66","-0.75"
"6","H","Bol","yes",3,2,"1.22","-0.10","-0.85"
"7","A","Rom","yes",0,-2,"0.88","0.21","-0.64"
"8","H","Ata","yes",0,-3,"0.43","0.62","-0.02"
"9","A","Sal","yes",3,2,"1.85","-0.66","-0.68"
"10","H","Int","yes",0,-2,"0.46","0.59","-0.09"
"11","A","Sas","yes",3,1,"1.43","-0.28","-0.38"
"12","H","Gen","yes",1,0,"1.59","-0.43","-0.80"
"13","A","Ver","yes",0,-1,"1.14","-0.02","-0.83"
"14","H","Fir","yes",3,1,"1.10","0.01","-0.82"
"15","A","Tor","yes",1,0,"1.18","-0.06","-0.88"
"16","H","Udi","yes",3,2,"1.03","0.08","-0.80"
"17","A","Nap","yes",3,1,"0.91","0.18","-0.62"
"18","A","Spe","yes",1,0,"1.70","-0.53","-1.15"
"19","H","Mil","yes",0,-2,"0.27","0.76","-0.39"
"20","A","Laz","yes",1,0,"0.88","0.21","-0.18"
"21","H","Sas","yes",0,-4,"0.86","0.23","0.05"
"22","A","Ven","yes",1,0,"1.89","-0.70","-0.65"
"23","H","Rom","yes",0,-2,"0.84","0.24","-0.41"
"24","A","Bol","yes",1,0,"1.22","-0.10","-0.50"
"25","H","Cag","yes",1,0,"1.35","-0.21","-0.71"
"26","A","Sam","yes",0,-2,"1.55","-0.39","-1.10"
"27","H","Juv","yes",0,-1,"0.56","0.49","-0.61"
"28","A","Gen","yes",1,0,"1.73","-0.56","-1.17"
"29","A","Mil","yes",0,-1,"0.74","0.33","-0.83"
"30","H","Ver","yes",1,0,"1.00","0.11","-0.73"
"31","A","Fir","yes",0,-1,"0.65","0.42","-0.31"
"32","H","Spe","yes",1,0,"1.20","-0.08","-0.39"
"33","A","Udi","yes",0,-3,"1.37","-0.23","-0.62"
"34","H","Nap","yes",3,1,"0.34","0.70","0.07"
"35","H","Tor","yes",0,-2,"1.08","0.03","0.10"
"36","A","Int","yes",0,-2,"0.52","0.54","0.64"
"37","H","Sal","yes",1,0,"1.29","-0.16","0.48"
"38","A","Ata","yes",3,1,"1.65","-0.48","0.00"
