"","HA","vs","played","Pts","GD","ePts","sched","cumulative"
"1","A","Rom","yes",0,-2,"0.78","0.49","0.49"
"2","H","Tor","yes",3,1,"2.30","-0.51","-0.01"
"3","A","Ata","yes",3,1,"1.36","0.11","0.10"
"4","A","Gen","yes",3,1,"1.97","-0.29","-0.19"
"5","H","Int","yes",0,-2,"1.26","0.17","-0.02"
"6","A","Udi","yes",3,1,"1.12","0.27","0.25"
"7","H","Nap","yes",0,-1,"1.07","0.30","0.55"
"8","A","Ven","yes",0,-1,"1.65","-0.08","0.47"
"9","H","Cag","yes",3,3,"2.16","-0.42","0.05"
"10","A","Laz","yes",0,-1,"0.66","0.57","0.62"
"11","H","Spe","yes",3,3,"2.09","-0.37","0.25"
"12","A","Juv","yes",0,-1,"0.72","0.53","0.78"
"13","H","Mil","yes",3,1,"0.93","0.39","1.17"
"14","A","Emp","yes",0,-1,"1.64","-0.07","1.10"
"15","H","Sam","yes",3,2,"2.25","-0.47","0.63"
"16","A","Bol","yes",3,1,"1.14","0.25","0.88"
"17","H","Sal","yes",3,4,"2.41","-0.58","0.31"
"18","H","Sas","yes",1,0,"1.90","-0.24","0.07"
"19","A","Ver","yes",1,0,"0.85","0.44","0.51"
"20","A","Tor","yes",0,-4,"0.89","0.42","0.92"
"21","H","Gen","yes",3,6,"2.34","-0.53","0.39"
"22","A","Cag","yes",1,0,"1.71","-0.12","0.27"
"23","H","Laz","yes",0,-3,"1.92","-0.26","0.01"
"24","A","Spe","no",NA,NA,"1.51","0.01","0.02"
"25","H","Ata","no",NA,NA,"0.79","0.48","0.50"
"26","A","Sas","no",NA,NA,"1.53","-0.00","0.50"
"27","H","Ver","no",NA,NA,"2.17","-0.42","0.08"
"28","H","Bol","no",NA,NA,"2.20","-0.44","-0.36"
"29","A","Int","no",NA,NA,"0.39","0.75","0.39"
"30","H","Emp","no",NA,NA,"1.64","-0.08","0.31"
"31","A","Nap","no",NA,NA,"0.73","0.52","0.83"
"32","H","Ven","no",NA,NA,"2.19","-0.43","0.40"
"33","A","Sal","no",NA,NA,"1.89","-0.24","0.16"
"34","A","Mil","no",NA,NA,"0.74","0.51","0.67"
"35","H","Rom","no",NA,NA,"1.99","-0.30","0.37"
"36","A","Sam","no",NA,NA,"1.52","0.00","0.37"
"37","H","Juv","no",NA,NA,"1.36","0.11","0.48"
"38","H","Udi","no",NA,NA,"2.26","-0.48","-0.00"
