"","longnames","Pld","GD","Pts","rank","rank+","ePld","Rate"
"Lee","Leeds United",44,36,87,1,1,43.9,1.98
"Bre","Brentford",44,44,81,3,2,43.7,1.85
"WBA","West Brom",45,32,82,2,3,44.8,1.83
"Ful","Fulham",44,14,77,4,4,43.9,1.75
"Not","Nottingham Forest",44,12,70,5,5,43.6,1.6
"Car","Cardiff City",44,5,67,6,6,43.7,1.53
"Mil","Millwall",44,4,65,7,7,43.8,1.49
"Swa","Swansea City",44,5,64,8,8,44,1.46
"PNE","Preston NE",44,3,62,9,9,43.9,1.41
"Bri","Bristol City",44,-4,62,10,10,44.1,1.41
"Der","Derby County",44,-2,61,11,11,44.3,1.38
"Bla","Blackburn Rovers",44,3,60,12,12,43.7,1.37
"Wig","Wigan Athletic",44,1,57,13,13,44.1,1.29
"Rea","Reading",44,5,56,14,14,44.1,1.27
"ShW","Sheffield Wednesday",44,-5,56,15,15,44.1,1.27
"QPR","QPR",44,-10,54,16,16,44.4,1.22
"Hud","Huddersfield Town",45,-15,51,17,17,45.3,1.13
"Mid","Middlesbrough",44,-12,50,19,18,44.1,1.13
"Bir","Birmingham City",44,-17,50,20,19,44.1,1.13
"Sto","Stoke City",44,-10,50,18,20,44.6,1.12
"Cha","Charlton Athletic",44,-11,47,21,21,44.3,1.06
"Hul","Hull City",44,-26,45,22,22,43.8,1.03
"Lut","Luton Town",44,-30,45,23,23,43.7,1.03
"Bar","Barnsley",44,-22,43,24,24,44.5,0.97
