"","HA","vs","played","Pts","GD","ePts","sched","cumulative"
"1","H","Viz","yes",3,3,"2.59","-0.13","-0.13"
"2","A","Bra","yes",3,1,"2.07","0.10","-0.03"
"3","H","Bel","yes",3,2,"2.56","-0.12","-0.15"
"4","A","Fam","yes",1,0,"2.58","-0.12","-0.27"
"5","H","Pto","yes",1,0,"1.59","0.31","0.03"
"6","A","Est","yes",3,1,"2.36","-0.03","0.00"
"7","H","Mar","yes",3,1,"2.54","-0.11","-0.11"
"8","A","Aro","yes",3,1,"2.14","0.07","-0.04"
"9","H","Mor","yes",3,1,"2.57","-0.12","-0.16"
"10","H","Gui","yes",3,1,"2.22","0.03","-0.13"
"11","A","Pac","yes",3,2,"2.50","-0.09","-0.22"
"12","H","Ton","yes",3,2,"2.56","-0.12","-0.34"
"13","A","Ben","yes",3,2,"1.95","0.15","-0.19"
"14","H","Boa","no",NA,NA,"2.60","-0.13","-0.32"
"15","A","Gil","no",NA,NA,"2.42","-0.06","-0.38"
"16","H","Pse","no",NA,NA,"1.78","0.22","-0.15"
"17","A","SCl","no",NA,NA,"2.39","-0.04","-0.20"
"18","A","Viz","no",NA,NA,"2.45","-0.07","-0.26"
"19","H","Bra","no",NA,NA,"2.12","0.07","-0.19"
"20","A","Bel","no",NA,NA,"2.59","-0.13","-0.32"
"21","H","Fam","no",NA,NA,"2.46","-0.07","-0.39"
"22","A","Pto","no",NA,NA,"1.28","0.44","0.05"
"23","H","Est","no",NA,NA,"1.78","0.22","0.27"
"24","A","Mar","no",NA,NA,"2.49","-0.09","0.19"
"25","H","Aro","no",NA,NA,"2.64","-0.15","0.04"
"26","A","Mor","no",NA,NA,"2.47","-0.08","-0.04"
"27","A","Gui","no",NA,NA,"2.21","0.04","-0.01"
"28","H","Pac","no",NA,NA,"2.51","-0.09","-0.10"
"29","A","Ton","no",NA,NA,"2.22","0.03","-0.07"
"30","H","Ben","no",NA,NA,"1.41","0.39","0.32"
"31","A","Boa","no",NA,NA,"2.36","-0.03","0.29"
"32","H","Gil","no",NA,NA,"2.34","-0.02","0.27"
"33","A","Pse","no",NA,NA,"2.51","-0.10","0.17"
"34","H","SCl","no",NA,NA,"2.69","-0.17","-0.00"
