"","HA","vs","played","sched","cumulative"
"1","A","Cel","yes","-0.01","-0.01"
"2","H","RVd","yes","-0.15","-0.16"
"3","A","Vil","yes","0.18","0.02"
"4","H","Lev","yes","-0.11","-0.09"
"5","A","Sev","yes","0.27","0.18"
"6","H","Osa","yes","-0.12","0.06"
"7","A","Atl","yes","0.30","0.36"
"8","H","Gra","yes","-0.11","0.26"
"9","A","Mal","yes","-0.07","0.18"
"10","H","Leg","yes","-0.22","-0.03"
"11","H","Bet","yes","-0.14","-0.17"
"12","A","Eib","yes","0.02","-0.16"
"13","H","RSo","yes","-0.08","-0.23"
"14","A","Ala","yes","-0.01","-0.24"
"15","H","Esp","yes","-0.21","-0.45"
"16","A","Val","yes","0.15","-0.30"
"17","A","Bar","yes","0.49","0.19"
"18","H","Bil","yes","-0.10","0.09"
"19","A","Get","yes","0.20","0.29"
"20","H","Sev","yes","0.01","0.29"
"21","A","RVd","yes","0.01","0.30"
"22","H","Atl","yes","0.03","0.33"
"23","A","Osa","yes","0.08","0.41"
"24","H","Cel","yes","-0.16","0.24"
"25","A","Lev","yes","0.08","0.32"
"26","H","Bar","yes","0.18","0.51"
"27","A","Bet","yes","0.03","0.54"
"28","H","Eib","yes","-0.15","0.39"
"29","H","Val","yes","-0.07","0.31"
"30","A","RSo","yes","0.14","0.46"
"31","H","Mal","yes","-0.20","0.26"
"32","A","Esp","yes","-0.10","0.16"
"33","H","Get","no","-0.05","0.11"
"34","A","Bil","no","0.11","0.23"
"35","H","Ala","no","-0.16","0.06"
"36","A","Gra","no","0.09","0.16"
"37","H","Vil","no","-0.05","0.11"
"38","A","Leg","no","-0.11","0.00"
