"","HA","vs","played","sched","cumulative"
"1","A","Ala","yes","-0.05","-0.05"
"2","H","Vil","yes","-0.06","-0.11"
"3","H","RVd","yes","-0.38","-0.49"
"4","A","RMa","yes","0.75","0.26"
"5","H","Eib","yes","-0.43","-0.17"
"6","A","Bet","yes","0.06","-0.11"
"7","H","Osa","yes","-0.23","-0.34"
"8","A","Leg","yes","-0.22","-0.56"
"9","A","Sev","yes","0.50","-0.06"
"10","H","Esp","yes","-0.69","-0.75"
"11","A","RSo","yes","0.32","-0.43"
"12","H","Bar","yes","0.41","-0.03"
"13","A","Bil","yes","0.28","0.25"
"14","H","Mal","yes","-0.59","-0.34"
"15","A","Get","yes","0.37","0.03"
"16","H","Val","yes","-0.18","-0.14"
"17","A","Gra","yes","0.24","0.10"
"18","H","Cel","yes","-0.45","-0.35"
"19","A","Atl","yes","0.54","0.19"
"20","H","Ala","yes","-0.48","-0.30"
"21","A","Osa","yes","0.22","-0.08"
"22","A","Bar","yes","0.70","0.63"
"23","H","Leg","yes","-0.62","0.01"
"24","A","Vil","yes","0.38","0.39"
"25","H","RMa","yes","0.48","0.87"
"26","A","Eib","yes","0.01","0.88"
"27","H","Gra","yes","-0.21","0.67"
"28","A","Val","yes","0.28","0.95"
"29","H","Sev","yes","0.10","1.05"
"30","A","Esp","yes","-0.31","0.74"
"31","H","Atl","yes","0.15","0.88"
"32","H","Bet","yes","-0.39","0.49"
"33","A","RVd","yes","0.07","0.56"
"34","H","RSo","yes","-0.13","0.43"
"35","A","Mal","no","-0.18","0.25"
"36","H","Bil","no","-0.17","0.08"
"37","A","Cel","no","-0.01","0.07"
"38","H","Get","no","-0.07","0.00"
