"","HA","vs","played","Pts","ePts","sched","cumulative"
"1","A","ShU","yes",3,"1.73","-0.40","-0.40"
"2","H","MnC","yes",0,"0.36","0.71","0.30"
"3","A","WHU","yes",0,"0.73","0.41","0.71"
"4","H","Ful","yes",3,"1.60","-0.30","0.41"
"5","A","Lee","yes",3,"1.13","0.08","0.49"
"6","H","New","yes",1,"1.70","-0.38","0.11"
"7","H","Pal","yes",3,"1.45","-0.18","-0.07"
"8","A","Lei","yes",0,"0.96","0.22","0.14"
"9","H","Sot","yes",1,"1.79","-0.45","-0.31"
"10","A","Ars","yes",3,"1.17","0.05","-0.26"
"11","A","Liv","yes",0,"0.90","0.26","0.00"
"12","H","Ast","yes",0,"1.16","0.06","0.06"
"13","H","Che","yes",3,"0.91","0.26","0.32"
"14","A","Bur","yes",0,"1.45","-0.18","0.15"
"15","H","Tot","yes",1,"1.17","0.05","0.19"
"16","A","MnU","yes",0,"0.75","0.39","0.59"
"17","A","BHA","yes",1,"1.78","-0.45","0.14"
"18","H","Eve","yes",0,"0.70","0.43","0.57"
"19","H","WBA","yes",0,"2.08","-0.69","-0.12"
"20","A","Che","yes",1,"0.88","0.28","0.16"
"21","A","Pal","yes",0,"1.34","-0.09","0.07"
"22","H","Ars","yes",3,"1.16","0.05","0.13"
"23","H","Lei","yes",1,"0.63","0.48","0.61"
"24","A","Sot","yes",3,"1.17","0.05","0.66"
"25","H","Lee","yes",3,"1.11","0.10","0.76"
"26","A","New","yes",1,"1.23","0.00","0.76"
"27","A","MnC","yes",0,"0.48","0.61","1.37"
"28","A","Ast","yes",1,"1.25","-0.02","1.35"
"29","H","Liv","yes",0,"0.98","0.20","1.56"
"30","H","WHU","yes",0,"1.11","0.10","1.66"
"31","A","Ful","yes",3,"2.04","-0.66","0.99"
"32","H","ShU","yes",3,"2.57","-1.09","-0.10"
"33","H","Bur","yes",0,"1.51","-0.23","-0.32"
"34","A","WBA","no",NA,"1.68","-0.37","-0.69"
"35","H","BHA","no",NA,"1.45","-0.18","-0.87"
"36","A","Tot","no",NA,"0.77","0.37","-0.50"
"37","A","Eve","no",NA,"1.29","-0.05","-0.54"
"38","H","MnU","no",NA,"0.56","0.54","-0.00"
