"","HA","vs","played","Pts","GD","ePts","sched","cumulative"
"1","H","ShU","yes",3,1,"2.52","-0.84","-0.84"
"2","A","Ful","yes",3,3,"2.40","-0.75","-1.59"
"3","H","Liv","yes",3,5,"0.87","0.37","-1.22"
"4","A","Lei","yes",3,1,"1.39","-0.02","-1.24"
"5","H","Lee","yes",0,-3,"1.12","0.18","-1.05"
"6","H","Sot","yes",0,-1,"1.71","-0.25","-1.30"
"7","A","Ars","yes",3,3,"1.53","-0.11","-1.42"
"8","H","BHA","yes",0,-1,"1.41","-0.03","-1.44"
"9","A","WHU","yes",0,-1,"1.15","0.16","-1.28"
"10","A","Wol","yes",3,1,"1.57","-0.14","-1.42"
"11","H","Bur","yes",1,0,"1.32","0.04","-1.38"
"12","A","WBA","yes",3,3,"2.06","-0.51","-1.89"
"13","H","Pal","yes",3,3,"1.38","-0.01","-1.89"
"14","A","Che","yes",1,0,"1.20","0.12","-1.77"
"15","A","MnU","yes",0,-1,"1.16","0.15","-1.62"
"16","A","MnC","yes",0,-2,"0.86","0.38","-1.24"
"17","H","New","yes",3,2,"1.43","-0.04","-1.29"
"18","A","Bur","yes",0,-1,"1.91","-0.39","-1.68"
"19","A","Sot","yes",3,1,"1.45","-0.06","-1.73"
"20","H","WHU","yes",0,-2,"0.93","0.32","-1.41"
"21","H","Ars","yes",3,1,"0.97","0.29","-1.12"
"22","A","BHA","yes",1,0,"2.01","-0.46","-1.58"
"23","H","Lei","yes",0,-1,"0.55","0.60","-0.98"
"24","A","Lee","yes",3,1,"1.43","-0.04","-1.02"
"25","A","ShU","yes",0,-1,"2.16","-0.58","-1.59"
"26","H","Wol","yes",1,0,"1.38","-0.01","-1.60"
"27","A","New","yes",1,0,"1.72","-0.26","-1.86"
"28","H","Tot","yes",0,-2,"1.13","0.18","-1.68"
"29","H","Ful","yes",3,2,"1.53","-0.11","-1.79"
"30","A","Liv","yes",0,-1,"1.23","0.10","-1.69"
"31","H","MnC","yes",0,-1,"0.29","0.79","-0.90"
"32","H","WBA","yes",1,0,"2.00","-0.46","-1.36"
"33","A","Eve","yes",3,1,"1.77","-0.29","-1.65"
"34","H","MnU","yes",0,-2,"0.46","0.66","-0.99"
"35","H","Eve","no",NA,NA,"0.54","0.61","-0.38"
"36","A","Pal","no",NA,NA,"1.78","-0.30","-0.68"
"37","A","Tot","no",NA,NA,"1.11","0.19","-0.49"
"38","H","Che","no",NA,NA,"0.71","0.49","-0.00"
