"","HA","vs","played","Pts","ePts","sched","cumulative"
"1","A","WHU","yes",3,"0.55","0.51","0.51"
"2","H","BHA","yes",0,"1.47","-0.31","0.20"
"3","A","Tot","yes",1,"0.59","0.47","0.67"
"4","H","Bur","yes",3,"1.53","-0.36","0.31"
"5","H","MnU","yes",0,"0.57","0.49","0.80"
"6","A","Wol","yes",1,"1.00","0.11","0.90"
"7","H","Eve","yes",3,"0.71","0.37","1.27"
"8","A","Sot","yes",0,"0.93","0.18","1.44"
"9","H","Che","yes",0,"0.92","0.18","1.62"
"10","A","Pal","yes",3,"1.08","0.03","1.66"
"11","H","WBA","yes",3,"2.07","-0.85","0.81"
"12","A","Lee","yes",0,"0.90","0.20","1.01"
"13","H","Ful","yes",1,"1.62","-0.45","0.56"
"14","A","MnC","yes",0,"0.36","0.68","1.24"
"15","H","Liv","yes",1,"1.00","0.11","1.36"
"16","H","Lei","yes",0,"0.65","0.42","1.78"
"17","A","ShU","yes",0,"1.46","-0.30","1.47"
"18","A","Ars","yes",0,"0.93","0.17","1.64"
"19","A","Ast","yes",0,"1.07","0.04","1.68"
"20","H","Lee","yes",0,"1.13","-0.00","1.68"
"21","A","Eve","yes",3,"1.04","0.07","1.75"
"22","H","Pal","yes",0,"1.54","-0.37","1.38"
"23","H","Sot","yes",3,"1.81","-0.61","0.77"
"24","A","Che","yes",0,"0.68","0.40","1.16"
"25","A","MnU","yes",0,"0.57","0.49","1.66"
"26","H","Wol","yes",1,"1.48","-0.32","1.34"
"27","A","WBA","yes",1,"1.42","-0.27","1.07"
"28","H","Ast","yes",1,"1.18","-0.05","1.02"
"29","A","BHA","yes",0,"1.53","-0.36","0.66"
"30","H","Tot","yes",1,"1.19","-0.06","0.60"
"31","A","Bur","yes",3,"1.19","-0.06","0.54"
"32","H","WHU","yes",3,"1.13","-0.00","0.53"
"33","A","Liv","yes",1,"0.70","0.38","0.91"
"34","H","Ars","no",NA,"1.18","-0.05","0.86"
"35","A","Lei","no",NA,"0.69","0.39","1.25"
"36","H","MnC","no",NA,"0.37","0.67","1.92"
"37","H","ShU","no",NA,"2.58","-1.30","0.61"
"38","A","Ful","no",NA,"1.81","-0.61","0.00"
