"","HA","vs","played","Pts","GD","ePts","sched","cumulative"
"1","H","Wol","yes",0,-2,"0.94","-0.94","-0.94"
"2","A","Ast","yes",0,-1,"0.27","0.43","-0.51"
"3","H","Lee","yes",0,-1,"0.72","-0.49","-1.00"
"4","A","Ars","yes",0,-1,"0.20","0.58","-0.42"
"5","H","Ful","yes",1,0,"1.07","-1.21","-1.63"
"6","A","Liv","yes",0,-1,"0.14","0.70","-0.92"
"7","H","MnC","yes",0,-1,"0.17","0.65","-0.28"
"8","A","Che","yes",0,-3,"0.14","0.72","0.44"
"9","H","WHU","yes",0,-1,"0.58","-0.21","0.23"
"10","A","WBA","yes",0,-1,"0.39","0.19","0.43"
"11","H","Lei","yes",0,-1,"0.36","0.25","0.67"
"12","A","Sot","yes",0,-3,"0.21","0.58","1.25"
"13","H","MnU","yes",0,-1,"0.27","0.44","1.69"
"14","A","BHA","yes",1,0,"0.36","0.25","1.94"
"15","H","Eve","yes",0,-1,"0.32","0.34","2.28"
"16","A","Bur","yes",0,-1,"0.32","0.34","2.62"
"17","A","Pal","yes",0,-2,"0.27","0.44","3.06"
"18","H","New","yes",3,1,"0.98","-1.03","2.03"
"19","H","Tot","yes",0,-2,"0.73","-0.51","1.52"
"20","A","MnU","yes",3,1,"0.12","0.75","2.27"
"21","A","MnC","yes",0,-1,"0.09","0.81","3.09"
"22","H","WBA","yes",3,1,"1.57","-2.23","0.85"
"23","H","Che","yes",0,-1,"0.43","0.12","0.97"
"24","A","WHU","yes",0,-3,"0.13","0.73","1.70"
"25","A","Ful","yes",0,-1,"0.66","-0.36","1.34"
"26","H","Liv","yes",0,-2,"0.54","-0.11","1.22"
"27","H","Ast","yes",3,1,"0.60","-0.25","0.98"
"28","H","Sot","yes",0,-2,"1.25","-1.57","-0.59"
"29","A","Lei","yes",0,-5,"0.17","0.64","0.05"
"30","A","Lee","yes",0,-1,"0.18","0.63","0.68"
"31","H","Ars","yes",0,-3,"0.61","-0.26","0.42"
"32","A","Wol","yes",0,-1,"0.21","0.56","0.98"
"33","H","BHA","yes",3,1,"0.97","-0.99","-0.01"
"34","A","Tot","yes",0,-4,"0.12","0.74","0.73"
"35","H","Pal","yes",0,-2,"0.88","-0.82","-0.09"
"36","A","Eve","no",NA,NA,"0.27","0.44","0.35"
"37","A","New","no",NA,NA,"0.25","0.48","0.83"
"38","H","Bur","no",NA,NA,"0.89","-0.83","0.00"
