"","HA","vs","played","Pts","ePts","sched","cumulative"
"1","H","New","yes",0,"2.35","-0.34","-0.34"
"2","A","Ars","yes",0,"1.45","0.17","-0.17"
"3","H","Wol","yes",3,"2.16","-0.23","-0.40"
"4","A","Lei","yes",3,"1.38","0.21","-0.19"
"5","A","Tot","yes",1,"1.16","0.34","0.15"
"6","H","MnC","yes",1,"0.86","0.51","0.66"
"7","A","Liv","yes",0,"1.20","0.32","0.97"
"8","H","Ful","yes",3,"2.27","-0.29","0.68"
"9","A","ShU","yes",3,"2.22","-0.26","0.42"
"10","H","Ast","yes",3,"1.90","-0.09","0.33"
"11","H","MnU","yes",0,"1.07","0.39","0.72"
"12","A","Lee","yes",3,"1.54","0.12","0.84"
"13","H","Pal","yes",1,"2.14","-0.22","0.62"
"14","A","Che","yes",0,"1.17","0.33","0.95"
"15","H","BHA","yes",1,"2.06","-0.18","0.78"
"16","A","Sot","yes",1,"1.56","0.11","0.89"
"17","A","Eve","yes",3,"1.67","0.05","0.94"
"18","H","Bur","yes",3,"2.25","-0.28","0.65"
"19","H","WBA","yes",3,"2.54","-0.45","0.20"
"20","A","Pal","yes",3,"1.72","0.02","0.22"
"21","H","Liv","yes",0,"1.66","0.05","0.27"
"22","A","Ast","yes",3,"1.60","0.08","0.35"
"23","A","Ful","yes",1,"2.32","-0.33","0.03"
"24","H","ShU","yes",3,"2.80","-0.60","-0.57"
"25","H","Tot","yes",3,"1.90","-0.09","-0.66"
"26","A","MnC","yes",0,"0.71","0.59","-0.06"
"27","H","Lee","yes",3,"1.85","-0.05","-0.12"
"28","A","MnU","yes",0,"1.15","0.34","0.23"
"29","H","Ars","yes",1,"1.91","-0.09","0.13"
"30","A","Wol","yes",3,"1.54","0.12","0.26"
"31","H","Lei","yes",3,"1.27","0.28","0.53"
"32","A","New","yes",0,"1.61","0.08","0.61"
"33","H","Che","no",NA,"1.76","-0.01","0.61"
"34","A","Bur","no",NA,"1.82","-0.04","0.57"
"35","H","Eve","no",NA,"1.47","0.16","0.73"
"36","A","BHA","no",NA,"2.13","-0.21","0.51"
"37","A","WBA","no",NA,"2.04","-0.16","0.35"
"38","H","Sot","no",NA,"2.37","-0.35","-0.00"
