"","longnames","Pld","GD","Pts","rank","rank+","ePld","Rate"
"Liv","Liverpool",15,18,36,1,1,14.9,2.42
"Che","Chelsea",16,18,34,2,2,15.6,2.18
"Ars","Arsenal",16,14,30,3,3,15.3,1.96
"Not","Nottingham Forest",16,2,28,4,4,15.6,1.79
"Bou","Bournemouth",15,3,24,7,5,14.3,1.68
"MnC","Manchester City",16,5,27,5,6,16.3,1.66
"BHA","Brighton",16,1,24,9,7,15.4,1.56
"New","Newcastle",16,2,23,12,8,15.3,1.5
"Ful","Fulham",16,2,24,8,9,16.7,1.44
"Ast","Aston Villa",16,-1,25,6,10,17.7,1.42
"Tot","Tottenham",16,17,23,10,11,16.5,1.39
"Bre","Brentford",16,2,23,11,12,16.6,1.39
"MnU","Manchester United",16,2,22,13,13,16.7,1.32
"WHU","West Ham",15,-8,18,14,14,14.3,1.26
"Pal","Crystal Palace",16,-4,16,15,15,16.2,0.99
"Lei","Leicester",16,-13,14,17,16,14.9,0.94
"Eve","Everton",15,-7,15,16,17,17.3,0.87
"Ips","Ipswich",16,-12,12,18,18,17.8,0.68
"Wol","Wolves",16,-16,9,19,19,14.6,0.61
"Sot","Southampton",16,-25,5,20,20,15.3,0.33
