"","HA","vs","played","Pts","GD","ePts","sched","cumulative"
"1","A","RKC","yes",0,-1,"1.89","-0.03","-0.03"
"2","A","Hee","yes",3,2,"2.07","-0.13","-0.16"
"3","H","PSV","yes",0,-3,"1.11","0.39","0.23"
"4","A","Her","yes",0,-1,"1.35","0.27","0.50"
"5","A","Twe","yes",0,-2,"1.05","0.43","0.93"
"6","H","GoA","yes",3,5,"2.26","-0.23","0.69"
"7","A","Cam","yes",3,2,"1.89","-0.03","0.66"
"8","H","Utr","yes",3,4,"2.13","-0.16","0.50"
"9","A","Gro","yes",0,-2,"1.71","0.07","0.57"
"10","H","Zwo","yes",3,1,"2.41","-0.32","0.25"
"11","A","Fey","yes",0,-1,"1.03","0.44","0.69"
"12","H","NEC","yes",1,0,"1.91","-0.04","0.64"
"13","A","Vit","yes",1,0,"1.87","-0.02","0.63"
"14","H","Sit","yes",3,1,"2.52","-0.37","0.25"
"15","H","Spa","yes",3,2,"2.49","-0.36","-0.11"
"16","A","Ajx","yes",3,1,"0.75","0.59","0.48"
"17","H","WII","yes",3,3,"2.51","-0.37","0.11"
"18","H","Gro","yes",3,1,"2.05","-0.12","-0.01"
"19","A","Sit","yes",3,1,"1.83","0.00","-0.00"
"20","H","Cam","yes",1,0,"2.06","-0.13","-0.13"
"21","A","PSV","yes",3,1,"0.83","0.55","0.42"
"22","A","GoA","yes",3,3,"1.78","0.03","0.45"
"23","H","Her","yes",3,1,"2.73","-0.49","-0.05"
"24","H","Fey","yes",3,1,"1.61","0.12","0.07"
"25","A","NEC","yes",3,2,"2.22","-0.21","-0.13"
"26","H","Twe","yes",0,-1,"1.64","0.11","-0.03"
"27","A","WII","yes",1,0,"1.94","-0.06","-0.09"
"28","H","Vit","no",NA,NA,"1.57","0.14","0.06"
"29","A","Zwo","no",NA,NA,"2.26","-0.24","-0.18"
"30","H","Hee","no",NA,NA,"2.11","-0.15","-0.33"
"31","A","Spa","no",NA,NA,"2.03","-0.11","-0.44"
"32","H","Ajx","no",NA,NA,"0.98","0.46","0.02"
"33","A","Utr","no",NA,NA,"1.37","0.25","0.27"
"34","H","RKC","no",NA,NA,"2.34","-0.27","-0.00"
