"","HA","vs","played","Pts","GD","ePts","sched","cumulative"
"1","H","Fey","yes",0,-4,"0.72","0.22","0.22"
"2","A","Vit","yes",3,3,"0.80","0.13","0.35"
"3","H","Zwo","yes",3,1,"1.64","-0.78","-0.43"
"4","A","NEC","yes",1,0,"1.18","-0.28","-0.71"
"5","H","Gro","yes",3,1,"1.14","-0.23","-0.94"
"6","A","RKC","yes",3,1,"0.85","0.08","-0.86"
"7","H","PSV","yes",3,1,"0.45","0.51","-0.35"
"8","A","Her","yes",0,-1,"0.47","0.49","0.14"
"9","A","Twe","yes",1,0,"0.33","0.64","0.79"
"10","H","Sit","yes",1,0,"1.83","-0.98","-0.19"
"11","A","Utr","yes",0,-4,"0.48","0.49","0.30"
"12","H","Spa","yes",0,-3,"1.78","-0.92","-0.63"
"13","A","Hee","yes",0,-1,"1.00","-0.08","-0.71"
"14","H","GoA","yes",0,-1,"1.31","-0.42","-1.13"
"15","A","Ajx","yes",0,-5,"0.22","0.76","-0.36"
"16","H","Cam","yes",0,-2,"1.15","-0.24","-0.61"
"17","A","AZA","yes",0,-3,"0.29","0.69","0.08"
"18","H","NEC","yes",0,-1,"0.92","0.01","0.09"
"19","A","Zwo","yes",0,-2,"1.31","-0.41","-0.33"
"20","H","Twe","yes",0,-1,"0.75","0.19","-0.14"
"21","H","RKC","yes",3,2,"1.52","-0.64","-0.78"
"22","A","Spa","yes",0,-1,"0.97","-0.05","-0.83"
"23","H","Ajx","yes",0,-1,"0.34","0.63","-0.19"
"24","A","Gro","yes",0,-1,"0.71","0.23","0.03"
"25","H","Hee","yes",1,0,"1.26","-0.36","-0.33"
"26","A","Sit","yes",0,-1,"0.91","0.02","-0.31"
"27","H","AZA","yes",1,0,"0.85","0.08","-0.24"
"28","A","Fey","yes",0,-2,"0.30","0.67","0.44"
"29","A","GoA","no",NA,NA,"0.74","0.20","0.64"
"30","H","Vit","no",NA,NA,"0.75","0.18","0.82"
"31","A","PSV","no",NA,NA,"0.24","0.74","1.56"
"32","H","Her","no",NA,NA,"2.07","-1.24","0.32"
"33","A","Cam","no",NA,NA,"0.88","0.05","0.37"
"34","H","Utr","no",NA,NA,"1.27","-0.37","-0.00"
