"","HA","vs","played","Pts","GD","GS","ePts","sched","cumulative"
"1","H","Wol","yes",3,1,1,"1.88","-0.12","-0.12"
"2","A","Tot","yes",0,-2,0,"1.05","0.38","0.25"
"3","H","Not","yes",3,1,3,"2.15","-0.28","-0.03"
"4","A","Ars","yes",0,-2,1,"0.60","0.64","0.62"
"5","H","BHA","yes",0,-2,1,"1.90","-0.13","0.49"
"6","A","Bur","yes",3,1,1,"2.48","-0.48","0.01"
"7","H","Pal","yes",0,-1,0,"2.13","-0.27","-0.26"
"8","H","Bre","yes",3,1,2,"2.22","-0.33","-0.59"
"9","A","ShU","yes",3,1,2,"2.47","-0.47","-1.06"
"10","H","MnC","yes",0,-3,0,"0.79","0.53","-0.53"
"11","A","Ful","yes",3,1,1,"1.44","0.14","-0.39"
"12","H","Lut","yes",3,1,1,"2.35","-0.40","-0.79"
"13","A","Eve","yes",3,3,3,"2.13","-0.27","-1.06"
"14","A","New","yes",0,-1,0,"1.10","0.34","-0.72"
"15","H","Che","yes",3,1,2,"1.66","0.01","-0.71"
"16","H","Bou","yes",0,-3,0,"1.71","-0.02","-0.73"
"17","A","Liv","yes",1,0,0,"0.49","0.71","-0.02"
"18","A","WHU","yes",0,-2,0,"1.64","0.02","0.01"
"19","H","Ast","yes",3,1,3,"1.38","0.18","0.19"
"20","A","Not","yes",0,-1,1,"2.06","-0.23","-0.04"
"21","H","Tot","yes",1,0,2,"1.34","0.20","0.16"
"22","A","Wol","yes",3,1,4,"1.52","0.10","0.25"
"23","H","WHU","yes",3,3,3,"1.61","0.04","0.29"
"24","A","Ast","yes",3,1,2,"0.93","0.44","0.73"
"25","A","Lut","yes",3,1,2,"2.30","-0.37","0.36"
"26","H","Ful","yes",0,-1,1,"2.19","-0.30","0.06"
"27","A","MnC","yes",0,-2,1,"0.73","0.56","0.62"
"28","H","Eve","yes",3,2,2,"1.76","-0.05","0.57"
"29","A","Bre","yes",1,0,1,"1.99","-0.18","0.38"
"30","A","Che","no",NA,NA,NA,"1.73","-0.03","0.35"
"31","H","Liv","no",NA,NA,NA,"0.89","0.47","0.82"
"32","A","Bou","no",NA,NA,NA,"1.77","-0.05","0.77"
"33","H","New","no",NA,NA,NA,"2.05","-0.22","0.55"
"34","H","ShU","no",NA,NA,NA,"2.51","-0.50","0.05"
"35","H","Bur","no",NA,NA,NA,"2.24","-0.34","-0.29"
"36","A","Pal","no",NA,NA,NA,"2.14","-0.28","-0.56"
"37","H","Ars","no",NA,NA,NA,"0.92","0.45","-0.11"
"38","A","BHA","no",NA,NA,NA,"1.49","0.11","-0.00"
