"","HA","vs","played","Pts","GD","GS","ePts","sched","cumulative"
"1","A","ShW","yes",3,1,2,"1.90","-0.00","-0.00"
"2","H","Nor","yes",1,0,4,"2.24","-0.19","-0.19"
"3","A","Ply","yes",3,1,2,"1.75","0.07","-0.12"
"4","H","QPR","yes",3,1,2,"2.19","-0.16","-0.27"
"5","A","Sun","yes",0,-5,0,"1.71","0.09","-0.18"
"6","H","Lei","yes",0,-3,1,"1.51","0.20","0.02"
"7","H","Ips","yes",0,-1,0,"1.61","0.15","0.17"
"8","A","Mid","yes",0,-1,1,"1.77","0.06","0.24"
"9","H","Lee","yes",3,2,3,"1.81","0.04","0.28"
"10","A","Sto","yes",3,1,1,"1.93","-0.02","0.26"
"11","H","Rot","yes",1,0,1,"2.81","-0.49","-0.23"
"12","A","Hul","yes",3,1,2,"1.74","0.08","-0.15"
"13","A","PNE","yes",1,0,2,"1.54","0.19","0.03"
"14","H","Bir","yes",3,2,3,"2.56","-0.36","-0.32"
"15","A","Mil","yes",3,1,1,"1.83","0.03","-0.29"
"16","H","WBA","yes",3,1,2,"2.17","-0.15","-0.44"
"17","A","Hud","yes",1,0,1,"1.99","-0.05","-0.49"
"18","H","BrC","yes",3,1,1,"2.21","-0.17","-0.65"
"19","H","Cdf","yes",3,2,2,"2.05","-0.09","-0.74"
"20","A","Wat","yes",1,0,1,"2.04","-0.08","-0.82"
"21","A","Cov","yes",1,0,1,"1.55","0.18","-0.64"
"22","H","Bbn","yes",3,4,4,"2.25","-0.19","-0.83"
"23","A","QPR","yes",3,1,1,"1.98","-0.04","-0.87"
"24","H","Swa","yes",3,5,5,"2.17","-0.15","-1.02"
"25","H","Ply","yes",3,1,2,"2.49","-0.31","-1.33"
"26","A","Nor","yes",1,0,1,"0.99","0.48","-0.85"
"27","H","ShW","yes",3,4,4,"2.41","-0.27","-1.13"
"28","A","Swa","yes",3,2,3,"1.85","0.02","-1.10"
"29","A","Rot","yes",3,2,2,"2.22","-0.18","-1.28"
"30","H","Hud","yes",3,2,5,"2.42","-0.28","-1.56"
"31","A","BrC","yes",0,-2,1,"1.60","0.16","-1.40"
"32","A","WBA","yes",3,2,2,"1.09","0.43","-0.97"
"33","H","Hul","yes",0,-1,1,"1.75","0.08","-0.90"
"34","H","Mil","yes",0,-1,1,"2.25","-0.19","-1.09"
"35","A","Bir","yes",3,1,4,"1.69","0.11","-0.98"
"36","H","Sun","yes",3,2,4,"2.24","-0.18","-1.16"
"37","H","Mid","yes",1,0,1,"1.96","-0.04","-1.20"
"38","A","Ips","yes",0,-1,2,"0.82","0.57","-0.63"
"39","A","Bbn","yes",1,0,0,"2.05","-0.09","-0.72"
"40","H","Cov","yes",3,1,2,"2.10","-0.11","-0.82"
"41","H","Wat","yes",3,1,3,"2.08","-0.10","-0.92"
"42","H","PNE","yes",3,3,3,"2.20","-0.16","-1.08"
"43","A","Cdf","yes",0,-1,1,"1.69","0.11","-0.98"
"44","A","Lei","yes",0,-5,0,"0.78","0.59","-0.39"
"45","H","Sto","no",NA,NA,NA,"2.30","-0.22","-0.61"
"46","A","Lee","no",NA,NA,NA,"0.75","0.61","0.00"
