"","HA","vs","played","sched","cumulative"
"1","H","Fam","yes","-0.02","-0.02"
"2","A","Pac","yes","0.06","0.04"
"3","H","Bel","yes","-0.44","-0.40"
"4","A","Ton","yes","-0.07","-0.47"
"5","H","Mor","yes","-0.24","-0.71"
"6","A","Pto","yes","0.83","0.11"
"7","H","Gil","yes","-0.27","-0.16"
"8","A","Bra","yes","0.46","0.30"
"9","H","Set","yes","-0.52","-0.22"
"10","A","Pse","yes","-0.11","-0.34"
"11","H","Ben","yes","0.47","0.14"
"12","H","Boa","yes","-0.35","-0.21"
"13","A","Mar","yes","0.07","-0.15"
"14","H","Spo","yes","0.12","-0.03"
"15","A","Ave","yes","-0.54","-0.57"
"16","H","Rio","yes","-0.05","-0.61"
"17","A","Gui","yes","0.31","-0.31"
"18","A","Fam","yes","0.40","0.09"
"19","H","Pac","yes","-0.38","-0.29"
"20","A","Bel","yes","-0.01","-0.30"
"21","H","Ton","yes","-0.49","-0.79"
"22","A","Mor","yes","0.20","-0.59"
"23","H","Pto","yes","0.64","0.05"
"24","A","Gil","yes","0.17","0.22"
"25","H","Bra","yes","0.05","0.27"
"26","A","Set","yes","-0.10","0.17"
"27","H","Pse","yes","-0.53","-0.36"
"28","A","Ben","yes","0.73","0.37"
"29","A","Boa","yes","0.09","0.47"
"30","H","Mar","yes","-0.37","0.09"
"31","A","Spo","yes","0.50","0.60"
"32","H","Ave","yes","-0.85","-0.25"
"33","A","Rio","yes","0.38","0.13"
"34","H","Gui","yes","-0.13","-0.00"
