"","HA","vs","played","sched","cumulative"
"1","A","SCl","yes","0.17","0.17"
"2","H","Rio","yes","-0.05","0.12"
"3","A","Gui","yes","0.26","0.39"
"4","A","Ave","yes","-0.45","-0.07"
"5","H","Pac","yes","-0.35","-0.42"
"6","A","Spo","yes","0.46","0.05"
"7","H","Bel","yes","-0.35","-0.30"
"8","A","Pto","yes","0.77","0.47"
"9","H","Gil","yes","-0.29","0.18"
"10","A","Bra","yes","0.46","0.63"
"11","H","Mor","yes","-0.22","0.42"
"12","A","Pse","yes","-0.08","0.33"
"13","H","Ton","yes","-0.39","-0.06"
"14","A","Ben","yes","0.69","0.63"
"15","H","Set","yes","-0.35","0.28"
"16","A","Boa","yes","0.14","0.42"
"17","H","Mar","yes","-0.37","0.06"
"18","H","SCl","yes","-0.20","-0.15"
"19","A","Rio","yes","0.33","0.19"
"20","H","Gui","yes","-0.12","0.07"
"21","H","Ave","yes","-0.64","-0.57"
"22","A","Pac","yes","-0.01","-0.59"
"23","H","Spo","yes","0.10","-0.49"
"24","A","Bel","yes","-0.02","-0.50"
"25","H","Pto","yes","0.54","0.03"
"26","A","Gil","yes","0.07","0.10"
"27","H","Bra","yes","0.09","0.19"
"28","A","Mor","yes","0.15","0.34"
"29","H","Pse","yes","-0.40","-0.06"
"30","A","Ton","no","-0.06","-0.13"
"31","H","Ben","no","0.40","0.27"
"32","A","Set","no","-0.01","0.26"
"33","H","Boa","no","-0.23","0.03"
"34","A","Mar","no","-0.03","0.00"
