"","longnames","Pld","GD","Pts","rank","rank+","ePld","Rate"
"Pto","FC Porto",34,64,91,1,1,34,2.68
"Spo","Sporting Lisbon",33,46,82,2,2,32.9,2.5
"Ben","Benfica",34,48,74,3,3,34,2.18
"Bra","Sporting Braga",33,22,65,4,4,32.9,1.98
"Gil","Gil Vicente",33,10,51,5,5,33,1.54
"Gui","Vitória Guimarães",33,4,45,6,6,33.1,1.36
"SCl","Santa Clara",33,-12,40,7,7,33.8,1.18
"Est","Estoril Praia",34,-7,39,8,8,34,1.15
"Mar","Marítimo",34,-5,38,9,9,34,1.12
"Boa","Boavista",34,-13,38,11,10,34,1.12
"Pse","Portimonense",34,-14,38,12,11,34,1.12
"Pac","Paços de Ferreira",34,-15,38,10,12,34,1.12
"Fam","FC Famalicão",33,-7,36,13,13,33.4,1.08
"Viz","Vizela",34,-21,33,14,14,34,0.97
"Aro","Arouca",34,-24,31,15,15,34,0.91
"Mor","Moreirense",34,-18,29,16,16,34,0.85
"Ton","Tondela",34,-26,28,17,17,34,0.82
"Bel","Belenenses",34,-32,26,18,18,34,0.76
