"","HA","vs","played","Pts","ePts","sched","cumulative"
"1","H","Mid","yes",3,"2.60","-0.36","-0.36"
"2","A","ShW","yes",1,"1.40","0.27","-0.08"
"3","H","Lut","yes",3,"2.54","-0.32","-0.41"
"4","A","Rea","yes",0,"0.97","0.49","0.09"
"5","A","Der","yes",3,"1.59","0.17","0.26"
"6","H","Bla","yes",3,"2.62","-0.36","-0.10"
"7","H","Bou","yes",1,"2.39","-0.24","-0.35"
"8","A","Wyc","yes",1,"1.82","0.05","-0.29"
"9","A","Bar","yes",0,"1.02","0.47","0.17"
"10","H","Sto","yes",3,"2.60","-0.35","-0.18"
"11","H","Cov","yes",3,"2.77","-0.44","-0.62"
"12","A","QPR","yes",1,"1.19","0.38","-0.24"
"13","A","Bri","yes",1,"1.66","0.14","-0.11"
"14","H","PNE","yes",3,"2.46","-0.28","-0.38"
"15","A","Not","yes",1,"1.59","0.17","-0.21"
"16","H","Car","yes",0,"2.32","-0.21","-0.42"
"17","H","Rot","yes",3,"2.60","-0.36","-0.77"
"18","A","Bir","yes",3,"1.80","0.06","-0.71"
"19","H","Bre","yes",1,"2.28","-0.19","-0.90"
"20","A","Hud","yes",0,"1.31","0.32","-0.58"
"21","H","Nor","yes",3,"1.90","0.01","-0.57"
"22","A","Swa","yes",0,"0.93","0.52","-0.05"
"23","H","Hud","yes",3,"2.72","-0.42","-0.47"
"24","H","Bar","yes",3,"2.30","-0.20","-0.67"
"25","A","Sto","yes",3,"1.21","0.37","-0.30"
"26","A","Mil","yes",1,"1.47","0.24","-0.06"
"27","H","QPR","yes",0,"2.58","-0.34","-0.41"
"28","A","Cov","yes",1,"1.23","0.36","-0.05"
"29","H","Bri","yes",3,"2.50","-0.30","-0.35"
"30","A","PNE","yes",3,"1.84","0.04","-0.31"
"31","H","Der","yes",3,"2.68","-0.39","-0.70"
"32","A","Bla","yes",3,"1.41","0.27","-0.44"
"33","A","Bou","yes",0,"0.82","0.58","0.14"
"34","H","Wyc","yes",3,"2.76","-0.44","-0.30"
"35","H","Not","yes",3,"2.57","-0.34","-0.64"
"36","A","Car","yes",3,"1.52","0.21","-0.43"
"37","A","Rot","yes",3,"1.87","0.03","-0.40"
"38","H","Bir","yes",3,"2.53","-0.32","-0.72"
"39","H","ShW","yes",3,"2.77","-0.44","-1.16"
"40","A","Mid","yes",1,"1.10","0.43","-0.73"
"41","H","Rea","yes",3,"2.50","-0.30","-1.03"
"42","A","Lut","yes",0,"1.26","0.34","-0.69"
"43","A","Nor","no",NA,"0.70","0.63","-0.06"
"44","H","Mil","no",NA,"2.45","-0.27","-0.33"
"45","A","Bre","no",NA,"0.92","0.52","0.19"
"46","H","Swa","no",NA,"2.29","-0.19","-0.00"
