"","HA","vs","played","sched","cumulative"
"1","A","Bar","yes","-0.20","-0.20"
"2","H","Bla","yes","-0.09","-0.29"
"3","A","Hud","yes","-0.03","-0.31"
"4","H","Mil","yes","-0.09","-0.40"
"5","H","Not","yes","0.03","-0.37"
"6","A","Car","yes","0.25","-0.12"
"7","H","WBA","yes","0.17","0.05"
"8","A","ShW","yes","0.14","0.19"
"9","H","Wig","yes","-0.32","-0.13"
"10","A","Rea","yes","0.09","-0.04"
"11","H","Cha","yes","-0.24","-0.28"
"12","A","Sto","yes","-0.03","-0.31"
"13","H","Lut","yes","-0.35","-0.66"
"14","A","Mid","yes","0.04","-0.62"
"15","H","Hul","yes","-0.19","-0.82"
"16","A","Bir","yes","0.14","-0.68"
"17","H","QPR","yes","-0.20","-0.88"
"18","H","Der","yes","-0.18","-1.05"
"19","A","Swa","yes","0.18","-0.88"
"20","H","Bri","yes","-0.01","-0.89"
"21","A","PNE","yes","0.30","-0.59"
"22","A","Bre","yes","0.34","-0.25"
"23","H","Lee","yes","0.09","-0.16"
"24","A","Lut","yes","-0.14","-0.30"
"25","H","Sto","yes","-0.27","-0.57"
"26","H","Rea","yes","-0.18","-0.76"
"27","A","Hul","yes","0.08","-0.68"
"28","H","Mid","yes","-0.23","-0.90"
"29","A","Cha","yes","0.02","-0.88"
"30","H","Hud","yes","-0.27","-1.16"
"31","A","Bla","yes","0.20","-0.96"
"32","A","Mil","yes","0.21","-0.75"
"33","H","Bar","no","-0.39","-1.14"
"34","A","Der","no","0.10","-1.04"
"35","H","Swa","no","-0.11","-1.16"
"36","H","PNE","no","-0.00","-1.16"
"37","A","Bri","no","0.29","-0.87"
"38","H","Bre","no","0.04","-0.83"
"39","A","Lee","no","0.39","-0.44"
"40","A","QPR","no","0.08","-0.37"
"41","H","Bir","no","-0.15","-0.51"
"42","A","Not","no","0.33","-0.19"
"43","H","Car","no","-0.05","-0.24"
"44","A","WBA","no","0.46","0.23"
"45","H","ShW","no","-0.14","0.09"
"46","A","Wig","no","-0.09","0.00"
