"","HA","vs","played","sched","cumulative"
"1","A","Wig","yes","0.08","0.08"
"2","H","Lut","yes","-0.34","-0.26"
"3","A","Rea","yes","0.11","-0.15"
"4","H","Hud","yes","-0.31","-0.47"
"5","A","Bla","yes","0.20","-0.27"
"6","H","Ful","yes","-0.00","-0.27"
"7","A","Der","yes","0.19","-0.08"
"8","H","Mid","yes","-0.28","-0.36"
"9","A","Hul","yes","-0.02","-0.38"
"10","H","QPR","yes","-0.20","-0.59"
"11","A","WBA","yes","0.44","-0.15"
"12","H","ShW","yes","-0.17","-0.32"
"13","A","Mil","yes","0.21","-0.10"
"14","A","Swa","yes","0.19","0.09"
"15","H","Bir","yes","-0.21","-0.12"
"16","H","Bri","yes","-0.12","-0.24"
"17","A","Cha","yes","0.02","-0.22"
"18","H","Sto","yes","-0.31","-0.53"
"19","A","Not","yes","0.34","-0.19"
"20","H","Bar","yes","-0.37","-0.56"
"21","A","Bre","yes","0.38","-0.18"
"22","A","Lee","yes","0.49","0.31"
"23","H","PNE","yes","-0.11","0.20"
"24","H","Mil","yes","-0.11","0.09"
"25","A","ShW","yes","0.15","0.24"
"26","A","QPR","yes","0.11","0.35"
"27","H","Swa","yes","-0.13","0.22"
"28","A","Bir","yes","0.11","0.32"
"29","H","WBA","yes","0.13","0.46"
"30","H","Rea","yes","-0.20","0.25"
"31","A","Lut","yes","-0.06","0.20"
"32","A","Hud","yes","-0.02","0.17"
"33","H","Wig","yes","-0.23","-0.06"
"34","A","Sto","yes","-0.01","-0.07"
"35","H","Not","yes","0.02","-0.05"
"36","H","Bre","yes","0.06","0.00"
"37","A","Bar","yes","-0.10","-0.09"
"38","H","Lee","yes","0.19","0.10"
"39","A","PNE","yes","0.22","0.31"
"40","H","Cha","no","-0.28","0.03"
"41","A","Bri","no","0.20","0.23"
"42","H","Bla","no","-0.12","0.11"
"43","A","Ful","no","0.32","0.43"
"44","H","Der","no","-0.13","0.30"
"45","A","Mid","no","0.01","0.31"
"46","H","Hul","no","-0.31","0.00"
