"","HA","vs","played","sched","cumulative"
"1","A","Mil","yes","0.25","0.25"
"2","H","Wig","yes","-0.22","0.03"
"3","A","Swa","yes","0.30","0.33"
"4","H","Sto","yes","-0.26","0.06"
"5","H","ShW","yes","-0.26","-0.20"
"6","A","Not","yes","0.28","0.08"
"7","H","Bre","yes","0.07","0.15"
"8","A","Bir","yes","-0.02","0.14"
"9","H","Bri","yes","-0.17","-0.03"
"10","A","Mid","yes","0.03","0.00"
"11","H","Bar","yes","-0.36","-0.35"
"12","A","Rea","yes","0.08","-0.28"
"13","H","Lee","yes","0.27","-0.00"
"14","H","Bla","yes","-0.17","-0.17"
"15","A","Cha","yes","-0.05","-0.22"
"16","H","Hud","yes","-0.33","-0.55"
"17","A","Der","yes","0.19","-0.35"
"18","A","Hul","yes","-0.10","-0.45"
"19","H","WBA","yes","0.12","-0.33"
"20","A","QPR","yes","0.11","-0.22"
"21","H","Ful","yes","0.12","-0.10"
"22","H","Lut","yes","-0.33","-0.43"
"23","A","Car","yes","0.30","-0.13"
"24","A","Lee","yes","0.56","0.43"
"25","H","Rea","yes","-0.26","0.17"
"26","H","Mid","yes","-0.30","-0.13"
"27","A","Bla","yes","0.18","0.05"
"28","H","Cha","yes","-0.37","-0.32"
"29","A","Bar","yes","-0.03","-0.35"
"30","H","Swa","yes","-0.05","-0.40"
"31","A","Wig","yes","0.12","-0.28"
"32","A","Sto","yes","0.08","-0.20"
"33","H","Mil","yes","-0.10","-0.30"
"34","H","Hul","yes","-0.41","-0.71"
"35","A","WBA","yes","0.45","-0.26"
"36","A","Ful","yes","0.44","0.18"
"37","H","QPR","yes","-0.23","-0.05"
"38","A","Lut","yes","-0.00","-0.05"
"39","H","Car","yes","-0.04","-0.10"
"40","H","Der","yes","-0.15","-0.25"
"41","A","Hud","yes","-0.00","-0.25"
"42","A","ShW","yes","0.08","-0.17"
"43","H","Not","yes","-0.07","-0.24"
"44","A","Bre","yes","0.40","0.16"
"45","H","Bir","yes","-0.34","-0.18"
"46","A","Bri","yes","0.18","0.00"
