"","HA","vs","played","sched","cumulative"
"1","H","Cha","yes","-0.30","-0.30"
"2","A","Ful","yes","0.39","0.09"
"3","H","Mid","yes","-0.28","-0.19"
"4","A","Hul","yes","0.10","-0.09"
"5","H","Car","yes","-0.05","-0.14"
"6","A","WBA","yes","0.50","0.35"
"7","H","Mil","yes","-0.10","0.25"
"8","A","Rea","yes","0.11","0.36"
"9","H","Lut","yes","-0.45","-0.09"
"10","H","Not","yes","0.04","-0.05"
"11","A","QPR","yes","0.09","0.04"
"12","H","Hud","yes","-0.34","-0.30"
"13","A","Bir","yes","0.16","-0.14"
"14","A","PNE","yes","0.34","0.20"
"15","H","ShW","yes","-0.17","0.03"
"16","A","Lee","yes","0.44","0.47"
"17","H","Bar","yes","-0.51","-0.05"
"18","H","Bre","yes","0.05","0.01"
"19","A","Sto","yes","-0.03","-0.02"
"20","H","Der","yes","-0.21","-0.23"
"21","A","Swa","yes","0.21","-0.03"
"22","A","Bri","yes","0.33","0.30"
"23","H","Wig","yes","-0.40","-0.10"
"24","H","Bir","yes","-0.17","-0.28"
"25","A","Hud","yes","-0.03","-0.31"
"26","A","Not","yes","0.37","0.06"
"27","H","PNE","yes","0.00","0.07"
"28","A","ShW","yes","0.17","0.23"
"29","H","QPR","yes","-0.24","-0.00"
"30","A","Mid","yes","0.04","0.04"
"31","H","Ful","yes","0.06","0.10"
"32","H","Hul","yes","-0.23","-0.13"
"33","A","Cha","no","0.02","-0.11"
"34","A","Bre","no","0.38","0.28"
"35","H","Sto","no","-0.34","-0.07"
"36","H","Swa","no","-0.13","-0.20"
"37","A","Der","no","0.12","-0.08"
"38","H","Bri","no","-0.01","-0.08"
"39","A","Wig","no","-0.11","-0.19"
"40","A","Bar","no","-0.25","-0.44"
"41","H","Lee","no","0.12","-0.32"
"42","A","Car","no","0.28","-0.04"
"43","H","WBA","no","0.19","0.15"
"44","A","Mil","no","0.24","0.39"
"45","H","Rea","no","-0.22","0.17"
"46","A","Lut","no","-0.17","-0.00"
