"","HA","vs","played","Pts","GD","ePts","sched","cumulative"
"1","A","Cad","yes",3,2,"2.24","-0.09","-0.09"
"2","H","Lev","yes",3,1,"2.39","-0.16","-0.25"
"3","A","Bar","yes",1,0,"1.31","0.36","0.11"
"4","A","Gra","yes",0,-1,"1.67","0.19","0.30"
"5","H","Eib","yes",0,-1,"2.38","-0.16","0.14"
"6","A","Bil","yes",0,-1,"1.80","0.12","0.27"
"7","H","Osa","yes",3,1,"2.40","-0.17","0.10"
"8","H","Cel","yes",3,2,"2.32","-0.13","-0.03"
"9","A","Hue","yes",3,1,"2.24","-0.09","-0.12"
"10","H","RMa","yes",0,-1,"1.36","0.34","0.22"
"11","A","Get","yes",3,1,"2.19","-0.06","0.15"
"12","H","RVd","yes",1,0,"2.47","-0.20","-0.05"
"13","A","Val","yes",3,1,"1.83","0.11","0.06"
"14","H","Vil","yes",3,2,"2.00","0.03","0.09"
"15","A","Bet","yes",1,0,"1.62","0.21","0.30"
"16","H","RSo","yes",3,1,"2.01","0.02","0.32"
"17","A","Atl","yes",0,-2,"0.78","0.62","0.94"
"18","A","Ala","yes",3,1,"2.18","-0.06","0.88"
"19","H","Cad","yes",3,3,"2.14","-0.04","0.84"
"20","A","Eib","yes",3,2,"2.56","-0.24","0.60"
"21","H","Get","yes",3,3,"2.53","-0.23","0.36"
"22","H","Hue","yes",3,1,"2.58","-0.26","0.11"
"23","A","Osa","yes",3,2,"1.99","0.03","0.14"
"24","H","Bar","yes",0,-2,"1.20","0.42","0.56"
"25","A","Elc","yes",0,-1,"2.22","-0.08","0.48"
"26","H","Bet","yes",3,1,"2.13","-0.04","0.44"
"27","H","Elc","yes",3,2,"2.64","-0.28","0.15"
"28","A","RVd","yes",1,0,"2.40","-0.17","-0.01"
"29","H","Atl","yes",3,1,"1.56","0.24","0.23"
"30","A","Cel","yes",3,1,"1.82","0.11","0.34"
"31","A","RSo","yes",3,1,"1.76","0.14","0.49"
"32","A","Lev","yes",3,1,"2.15","-0.05","0.44"
"33","H","Gra","yes",3,1,"2.48","-0.21","0.23"
"34","H","Bil","yes",0,-1,"2.39","-0.16","0.07"
"35","A","RMa","yes",1,0,"1.25","0.39","0.46"
"36","H","Val","no",NA,NA,"2.61","-0.27","0.19"
"37","A","Vil","no",NA,NA,"1.98","0.04","0.23"
"38","H","Ala","no",NA,NA,"2.53","-0.23","-0.00"
