"","HA","vs","played","Pts","GD","ePts","sched","cumulative"
"1","A","Cad","yes",3,2,"2.24","-0.09","-0.09"
"2","H","Lev","yes",3,1,"2.40","-0.17","-0.25"
"3","A","Bar","yes",1,0,"1.30","0.37","0.12"
"4","A","Gra","yes",0,-1,"1.66","0.19","0.31"
"5","H","Eib","yes",0,-1,"2.39","-0.16","0.15"
"6","A","Bil","yes",0,-1,"1.80","0.13","0.27"
"7","H","Osa","yes",3,1,"2.40","-0.17","0.11"
"8","H","Cel","yes",3,2,"2.33","-0.13","-0.02"
"9","A","Hue","yes",3,1,"2.24","-0.09","-0.11"
"10","H","RMa","yes",0,-1,"1.37","0.33","0.22"
"11","A","Get","yes",3,1,"2.18","-0.06","0.16"
"12","H","RVd","yes",1,0,"2.47","-0.20","-0.04"
"13","A","Val","yes",3,1,"1.83","0.11","0.07"
"14","H","Vil","yes",3,2,"2.01","0.02","0.09"
"15","A","Bet","yes",1,0,"1.67","0.19","0.28"
"16","H","RSo","yes",3,1,"2.01","0.02","0.30"
"17","A","Atl","yes",0,-2,"0.77","0.62","0.93"
"18","A","Ala","yes",3,1,"2.17","-0.06","0.87"
"19","H","Cad","yes",3,3,"2.07","-0.01","0.86"
"20","A","Eib","yes",3,2,"2.56","-0.24","0.62"
"21","H","Get","yes",3,3,"2.53","-0.23","0.39"
"22","H","Hue","yes",3,1,"2.59","-0.26","0.13"
"23","A","Osa","yes",3,2,"2.08","-0.01","0.12"
"24","H","Bar","yes",0,-2,"1.21","0.41","0.53"
"25","A","Elc","yes",0,-1,"2.13","-0.04","0.50"
"26","H","Bet","yes",3,1,"2.14","-0.04","0.46"
"27","H","Elc","yes",3,2,"2.64","-0.28","0.17"
"28","A","RVd","yes",1,0,"2.40","-0.17","0.01"
"29","H","Atl","yes",3,1,"1.57","0.24","0.24"
"30","A","Cel","yes",3,1,"1.81","0.12","0.36"
"31","A","RSo","yes",3,1,"1.76","0.15","0.51"
"32","A","Lev","yes",3,1,"2.15","-0.05","0.46"
"33","H","Gra","yes",3,1,"2.46","-0.20","0.26"
"34","H","Bil","yes",0,-1,"2.40","-0.17","0.10"
"35","A","RMa","yes",1,0,"1.24","0.40","0.49"
"36","H","Val","no",NA,NA,"2.61","-0.27","0.23"
"37","A","Vil","no",NA,NA,"1.98","0.04","0.27"
"38","H","Ala","no",NA,NA,"2.60","-0.27","0.00"
